"Plot Title: 10922142"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 10922142, SEN S/N: 10922142)","Temp, °C (LGR S/N: 10922142, SEN S/N: 10922142)","Specific Conductance, μS/cm (LGR S/N: 10922142)","Salinity, ppt (LGR S/N: 10922142)"
1,11/30/16 11:19:36 AM,0.0,21.60,0.0,0.0123
2,11/30/16 11:24:36 AM,0.0,21.75,0.0,0.0123
3,11/30/16 11:29:36 AM,0.0,21.83,0.0,0.0123
4,11/30/16 11:34:36 AM,0.0,21.88,0.0,0.0123
5,11/30/16 11:39:36 AM,0.0,21.89,0.0,0.0123
6,11/30/16 11:44:36 AM,0.0,21.90,0.0,0.0123
7,11/30/16 11:49:36 AM,0.0,21.92,0.0,0.0123
8,11/30/16 11:54:36 AM,0.0,21.92,0.0,0.0123
9,11/30/16 11:59:36 AM,0.0,21.92,0.0,0.0123
10,11/30/16 12:04:36 PM,0.0,21.90,0.0,0.0123
11,11/30/16 12:09:36 PM,0.0,21.90,0.0,0.0123
12,11/30/16 12:14:36 PM,0.0,21.90,0.0,0.0123
13,11/30/16 12:19:36 PM,0.0,21.89,0.0,0.0123
14,11/30/16 12:24:36 PM,0.0,21.88,0.0,0.0123
15,11/30/16 12:29:36 PM,0.0,21.88,0.0,0.0123
16,11/30/16 12:34:36 PM,0.0,21.86,0.0,0.0123
17,11/30/16 12:39:36 PM,0.0,21.85,0.0,0.0123
18,11/30/16 12:44:36 PM,0.0,21.86,0.0,0.0123
19,11/30/16 12:49:36 PM,0.0,21.83,0.0,0.0123
20,11/30/16 12:54:36 PM,0.0,21.82,0.0,0.0123
21,11/30/16 12:59:36 PM,0.0,21.81,0.0,0.0123
22,11/30/16 01:04:36 PM,0.0,21.81,0.0,0.0123
23,11/30/16 01:09:36 PM,0.0,21.79,0.0,0.0123
24,11/30/16 01:14:36 PM,0.0,21.78,0.0,0.0123
25,11/30/16 01:19:36 PM,0.0,21.76,0.0,0.0123
26,11/30/16 01:24:36 PM,0.0,21.76,0.0,0.0123
27,11/30/16 01:29:36 PM,0.0,21.75,0.0,0.0123
28,11/30/16 01:34:36 PM,0.0,21.74,0.0,0.0123
29,11/30/16 01:39:36 PM,0.0,21.74,0.0,0.0123
30,11/30/16 01:44:36 PM,0.0,21.72,0.0,0.0123
31,11/30/16 01:49:36 PM,0.0,21.72,0.0,0.0123
32,11/30/16 01:54:36 PM,0.0,21.71,0.0,0.0123
33,11/30/16 01:59:36 PM,0.0,21.70,0.0,0.0123
34,11/30/16 02:04:36 PM,0.0,21.68,0.0,0.0123
35,11/30/16 02:09:36 PM,0.0,21.68,0.0,0.0123
36,11/30/16 02:14:36 PM,0.0,21.68,0.0,0.0123
37,11/30/16 02:19:36 PM,0.0,21.67,0.0,0.0123
38,11/30/16 02:24:36 PM,0.0,21.65,0.0,0.0123
39,11/30/16 02:29:36 PM,0.0,21.65,0.0,0.0123
40,11/30/16 02:34:36 PM,0.0,21.65,0.0,0.0123
41,11/30/16 02:39:36 PM,0.0,21.64,0.0,0.0123
42,11/30/16 02:44:36 PM,0.0,21.63,0.0,0.0123
