"Plot Title: 10922142"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 10922142, SEN S/N: 10922142)","Temp, °C (LGR S/N: 10922142, SEN S/N: 10922142)","Specific Conductance, μS/cm (LGR S/N: 10922142)","Salinity, ppt (LGR S/N: 10922142)"
1,01/19/17 04:54:36 PM,624.3,10.15,888.2,0.4303
2,01/19/17 04:59:36 PM,625.5,10.22,888.2,0.4303
3,01/19/17 05:04:36 PM,624.3,10.19,887.2,0.4298
4,01/19/17 05:09:36 PM,623.7,10.16,887.1,0.4297
5,01/19/17 05:14:36 PM,623.1,10.14,886.7,0.4295
6,01/19/17 05:19:36 PM,623.1,10.12,887.2,0.4298
7,01/19/17 05:24:36 PM,622.0,10.11,885.8,0.4291
8,01/19/17 05:29:36 PM,622.0,10.07,886.8,0.4295
9,01/19/17 05:34:36 PM,621.4,10.04,886.6,0.4295
10,01/19/17 05:39:36 PM,620.8,10.01,886.5,0.4294
11,01/19/17 05:44:36 PM,619.6,9.98,885.5,0.4289
12,01/19/17 05:49:36 PM,619.6,9.96,886.0,0.4291
13,01/19/17 05:54:36 PM,619.6,9.96,886.0,0.4291
14,01/19/17 05:59:36 PM,619.0,9.94,885.6,0.4289
15,01/19/17 06:04:36 PM,619.6,9.94,886.4,0.4293
16,01/19/17 06:09:36 PM,619.0,9.93,885.8,0.4290
17,01/19/17 06:14:36 PM,619.0,9.89,886.8,0.4295
18,01/19/17 06:19:36 PM,617.8,9.84,886.3,0.4292
19,01/19/17 06:24:36 PM,617.2,9.80,886.3,0.4292
20,01/19/17 06:29:36 PM,616.0,9.76,885.6,0.4288
21,01/19/17 06:34:36 PM,614.8,9.72,884.8,0.4284
22,01/19/17 06:39:36 PM,613.7,9.66,884.7,0.4283
23,01/19/17 06:44:36 PM,613.1,9.62,884.7,0.4283
24,01/19/17 06:49:36 PM,611.9,9.57,884.2,0.4280
25,01/19/17 06:54:36 PM,610.7,9.51,883.9,0.4278
26,01/19/17 06:59:36 PM,607.8,9.37,883.1,0.4274
27,01/19/17 07:04:36 PM,607.8,9.35,883.5,0.4276
28,01/19/17 07:09:36 PM,603.7,9.21,880.9,0.4262
29,01/19/17 07:14:36 PM,601.3,9.15,878.9,0.4251
30,01/19/17 07:19:36 PM,601.3,9.14,879.1,0.4253
31,01/19/17 07:24:36 PM,599.0,9.12,876.2,0.4238
32,01/19/17 07:29:36 PM,601.3,9.12,879.6,0.4255
33,01/19/17 07:34:36 PM,601.9,9.15,879.7,0.4256
34,01/19/17 07:39:36 PM,600.7,9.12,878.7,0.4251
35,01/19/17 07:44:36 PM,597.8,9.01,877.1,0.4242
36,01/19/17 07:49:36 PM,596.1,8.99,875.1,0.4232
37,01/19/17 07:54:36 PM,598.4,9.01,878.0,0.4246
38,01/19/17 07:59:36 PM,598.4,9.01,878.0,0.4246
39,01/19/17 08:04:36 PM,598.4,9.01,878.0,0.4246
40,01/19/17 08:09:36 PM,597.8,8.97,878.0,0.4247
41,01/19/17 08:14:36 PM,595.5,8.90,876.3,0.4238
