"Plot Title: 10922142"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 10922142, SEN S/N: 10922142)","Temp, °C (LGR S/N: 10922142, SEN S/N: 10922142)","Specific Conductance, μS/cm (LGR S/N: 10922142)","Salinity, ppt (LGR S/N: 10922142)"
1,03/29/17 11:34:36 AM,2284.9,16.91,2720.8,1.4061
2,03/29/17 11:39:36 AM,2297.1,17.13,2721.6,1.4066
3,03/29/17 11:44:36 AM,2302.4,17.22,2722.3,1.4069
4,03/29/17 11:49:36 AM,2309.2,17.32,2724.1,1.4079
5,03/29/17 11:54:36 AM,2316.8,17.43,2726.2,1.4091
6,03/29/17 11:59:36 AM,2325.9,17.57,2728.2,1.4102
7,03/29/17 12:04:36 PM,2332.7,17.74,2725.6,1.4088
8,03/29/17 12:09:36 PM,2341.8,17.82,2731.3,1.4119
9,03/29/17 12:14:36 PM,2349.3,17.92,2733.9,1.4133
10,03/29/17 12:19:36 PM,2355.4,18.00,2736.0,1.4144
11,03/29/17 12:24:36 PM,2367.4,18.18,2738.8,1.4160
12,03/29/17 12:29:36 PM,2371.9,18.26,2739.1,1.4161
13,03/29/17 12:34:36 PM,2382.5,18.40,2742.7,1.4181
14,03/29/17 12:39:36 PM,2389.3,18.48,2745.6,1.4196
15,03/29/17 12:44:36 PM,2406.5,18.76,2748.1,1.4210
16,03/29/17 12:49:36 PM,2414.8,18.87,2750.8,1.4225
17,03/29/17 12:54:36 PM,2422.3,19.00,2751.4,1.4228
18,03/29/17 12:59:36 PM,2422.3,18.95,2754.4,1.4245
19,03/29/17 01:04:36 PM,2431.2,19.12,2754.1,1.4243
20,03/29/17 01:09:36 PM,2441.0,19.29,2754.9,1.4247
21,03/29/17 01:14:36 PM,2452.2,19.45,2757.7,1.4263
22,03/29/17 01:19:36 PM,2455.1,19.48,2759.2,1.4271
23,03/29/17 01:24:36 PM,2465.6,19.63,2761.8,1.4285
24,03/29/17 01:29:36 PM,2466.3,19.65,2761.4,1.4283
25,03/29/17 01:34:36 PM,2464.1,19.65,2758.9,1.4269
26,03/29/17 01:39:36 PM,2481.2,19.91,2762.3,1.4288
27,03/29/17 01:44:36 PM,2487.1,20.02,2762.2,1.4287
28,03/29/17 01:49:36 PM,2494.5,20.13,2763.7,1.4296
29,03/29/17 01:54:36 PM,2504.9,20.26,2767.4,1.4316
30,03/29/17 01:59:36 PM,2519.7,20.50,2769.2,1.4326
31,03/29/17 02:04:36 PM,2519.7,20.49,2769.8,1.4329
32,03/29/17 02:09:36 PM,2524.9,20.60,2768.9,1.4324
33,03/29/17 02:14:36 PM,2519.0,20.53,2766.7,1.4312
34,03/29/17 02:19:36 PM,2530.1,20.75,2765.7,1.4306
35,03/29/17 02:24:36 PM,2536.0,20.81,2768.5,1.4322
36,03/29/17 02:29:36 PM,2538.2,20.84,2769.1,1.4325
37,03/29/17 02:34:36 PM,2542.6,20.95,2767.3,1.4315
38,03/29/17 02:39:36 PM,2555.8,21.16,2769.2,1.4325
39,03/29/17 02:44:36 PM,2569.8,21.38,2771.2,1.4336
40,03/29/17 02:49:36 PM,2563.9,21.27,2771.4,1.4337
41,03/29/17 02:54:36 PM,2577.1,21.50,2772.0,1.4340
42,03/29/17 02:59:36 PM,2569.8,21.54,2761.7,1.4285
43,03/29/17 03:04:36 PM,2582.3,21.63,2769.9,1.4329
44,03/29/17 03:09:36 PM,2570.5,21.50,2764.9,1.4302
45,03/29/17 03:14:36 PM,2575.7,21.60,2764.5,1.4300
46,03/29/17 03:19:36 PM,2574.9,21.58,2764.9,1.4302
47,03/29/17 03:24:36 PM,2583.7,21.70,2767.2,1.4315
48,03/29/17 03:29:36 PM,2591.0,21.78,2770.3,1.4331
49,03/29/17 03:34:36 PM,2597.6,21.92,2769.1,1.4325
50,03/29/17 03:39:36 PM,2579.3,21.76,2759.0,1.4270
51,03/29/17 03:44:36 PM,2571.3,21.57,2761.6,1.4284
52,03/29/17 03:49:36 PM,2578.6,21.68,2762.9,1.4291
53,03/29/17 03:54:36 PM,2596.9,21.92,2768.4,1.4321
54,03/29/17 03:59:36 PM,2602.7,22.01,2769.3,1.4326
55,03/29/17 04:04:36 PM,2598.4,22.00,2765.3,1.4304
56,03/29/17 04:09:36 PM,2595.4,22.00,2762.1,1.4287
57,03/29/17 04:14:36 PM,2591.0,21.86,2765.6,1.4306
58,03/29/17 04:19:36 PM,2599.8,21.97,2768.5,1.4322
59,03/29/17 04:24:36 PM,2601.3,21.99,2768.9,1.4324
60,03/29/17 04:29:36 PM,2590.3,22.06,2753.1,1.4238
61,03/29/17 04:34:36 PM,2602.7,22.07,2765.7,1.4306
62,03/29/17 04:39:36 PM,2588.8,21.82,2765.6,1.4306
63,03/29/17 04:44:36 PM,2583.0,21.75,2763.5,1.4294
64,03/29/17 04:49:36 PM,2595.4,21.96,2764.4,1.4299
65,03/29/17 04:54:36 PM,2593.2,21.90,2765.6,1.4306
66,03/29/17 04:59:36 PM,2585.9,21.81,2763.1,1.4292
67,03/29/17 05:04:36 PM,2581.5,21.78,2760.2,1.4276
68,03/29/17 05:09:36 PM,2561.7,21.46,2757.8,1.4263
69,03/29/17 05:14:36 PM,2566.9,21.58,2756.3,1.4255
70,03/29/17 05:19:36 PM,2564.7,21.56,2755.1,1.4248
71,03/29/17 05:24:36 PM,2553.6,21.39,2753.2,1.4238
72,03/29/17 05:29:36 PM,2544.1,21.28,2749.4,1.4217
73,03/29/17 05:34:36 PM,2538.2,21.22,2746.6,1.4202
74,03/29/17 05:39:36 PM,2533.0,21.17,2743.9,1.4187
75,03/29/17 05:44:36 PM,2520.5,21.00,2740.3,1.4168
76,03/29/17 05:49:36 PM,2507.9,20.82,2737.2,1.4151
77,03/29/17 05:54:36 PM,2510.1,20.85,2737.9,1.4154
78,03/29/17 05:59:36 PM,2496.0,20.64,2734.9,1.4138
79,03/29/17 06:04:36 PM,2490.1,20.57,2732.6,1.4126
80,03/29/17 06:09:36 PM,2486.4,20.50,2732.7,1.4126
81,03/29/17 06:14:36 PM,2480.4,20.41,2731.4,1.4119
82,03/29/17 06:19:36 PM,2477.5,20.37,2730.6,1.4115
83,03/29/17 06:24:36 PM,2473.0,20.30,2729.8,1.4110
84,03/29/17 06:29:36 PM,2458.9,20.08,2727.3,1.4097
85,03/29/17 06:34:36 PM,2451.4,19.92,2728.5,1.4103
86,03/29/17 06:39:36 PM,2446.9,19.84,2728.3,1.4102
87,03/29/17 06:44:36 PM,2444.7,19.81,2727.6,1.4098
88,03/29/17 06:49:36 PM,2433.5,19.70,2721.7,1.4066
89,03/29/17 06:54:36 PM,2432.0,19.56,2728.4,1.4103
90,03/29/17 06:59:36 PM,2420.0,19.37,2726.3,1.4091
91,03/29/17 07:04:36 PM,2417.8,19.33,2726.3,1.4091
92,03/29/17 07:09:36 PM,2411.8,19.25,2724.3,1.4080
93,03/29/17 07:14:36 PM,2399.8,19.08,2721.0,1.4062
94,03/29/17 07:19:36 PM,2395.3,18.98,2721.9,1.4068
95,03/29/17 07:24:36 PM,2358.4,18.87,2686.6,1.3875
96,03/29/17 07:29:36 PM,2382.5,18.76,2720.7,1.4061
97,03/29/17 07:34:36 PM,2378.0,18.72,2718.0,1.4046
98,03/29/17 07:39:36 PM,2373.5,18.65,2717.1,1.4041
99,03/29/17 07:44:36 PM,2367.4,18.54,2716.8,1.4039
100,03/29/17 07:49:36 PM,2364.4,18.50,2715.8,1.4034
101,03/29/17 07:54:36 PM,2362.9,18.48,2715.2,1.4031
102,03/29/17 07:59:36 PM,2357.6,18.39,2714.6,1.4028
103,03/29/17 08:04:36 PM,2345.5,18.33,2704.3,1.3972
104,03/29/17 08:09:36 PM,2311.5,18.26,2669.3,1.3781
105,03/29/17 08:14:36 PM,2323.6,18.17,2688.7,1.3887
106,03/29/17 08:19:36 PM,2336.5,18.10,2707.9,1.3991
107,03/29/17 08:24:36 PM,2328.9,18.07,2701.0,1.3953
108,03/29/17 08:29:36 PM,2294.0,17.92,2669.5,1.3782
109,03/29/17 08:34:36 PM,2303.1,17.89,2681.9,1.3849
110,03/29/17 08:39:36 PM,2320.6,17.82,2706.6,1.3984
111,03/29/17 08:44:36 PM,2316.0,17.76,2704.9,1.3975
112,03/29/17 08:49:36 PM,2310.7,17.68,2703.6,1.3968
113,03/29/17 08:54:36 PM,2305.4,17.60,2702.3,1.3960
114,03/29/17 08:59:36 PM,2300.9,17.51,2702.6,1.3962
115,03/29/17 09:04:36 PM,2287.9,17.46,2690.3,1.3895
116,03/29/17 09:09:36 PM,2249.9,17.39,2649.9,1.3675
117,03/29/17 09:14:36 PM,2286.4,17.29,2699.0,1.3943
118,03/29/17 09:19:36 PM,2275.0,17.21,2690.5,1.3896
119,03/29/17 09:24:36 PM,2276.5,17.13,2697.2,1.3933
120,03/29/17 09:29:36 PM,2267.4,16.97,2696.3,1.3928
121,03/29/17 09:34:36 PM,2265.1,16.96,2694.2,1.3916
122,03/29/17 09:39:36 PM,2262.8,16.91,2694.5,1.3918
123,03/29/17 09:44:36 PM,2256.0,16.82,2692.0,1.3904
124,03/29/17 09:49:36 PM,2253.7,16.77,2692.3,1.3906
125,03/29/17 09:54:36 PM,2240.7,16.73,2679.3,1.3835
126,03/29/17 09:59:36 PM,2248.3,16.68,2691.5,1.3901
127,03/29/17 10:04:36 PM,2246.1,16.67,2689.4,1.3890
128,03/29/17 10:09:36 PM,2235.4,16.61,2680.3,1.3841
129,03/29/17 10:14:36 PM,2210.9,16.57,2653.4,1.3694
130,03/29/17 10:19:36 PM,2225.4,16.55,2672.1,1.3796
131,03/29/17 10:24:36 PM,2233.8,16.49,2685.9,1.3871
132,03/29/17 10:29:36 PM,2220.8,16.34,2679.5,1.3836
133,03/29/17 10:34:36 PM,2217.0,16.24,2681.1,1.3845
134,03/29/17 10:39:36 PM,2220.1,16.27,2683.0,1.3855
135,03/29/17 10:44:36 PM,2205.5,16.16,2672.2,1.3797
136,03/29/17 10:49:36 PM,2209.3,16.14,2678.1,1.3828
137,03/29/17 10:54:36 PM,2200.2,16.01,2675.1,1.3812
138,03/29/17 10:59:36 PM,2203.2,15.98,2680.6,1.3842
139,03/29/17 11:04:36 PM,2205.5,16.06,2678.4,1.3830
140,03/29/17 11:09:36 PM,2207.8,16.06,2681.2,1.3846
141,03/29/17 11:14:36 PM,2204.8,16.02,2680.1,1.3839
142,03/29/17 11:19:36 PM,2200.9,15.95,2679.7,1.3837
143,03/29/17 11:24:36 PM,2198.6,15.89,2680.7,1.3843
144,03/29/17 11:29:36 PM,2198.6,15.88,2681.3,1.3846
145,03/29/17 11:34:36 PM,2194.8,15.85,2678.5,1.3831
