"Plot Title: 10327675_CP_Weir"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10327675, SEN S/N: 10327675)","Full Range, μS/cm (LGR S/N: 10327675, SEN S/N: 10327675)","Temp, °C (LGR S/N: 10327675, SEN S/N: 10327675)","Specific Conductance, μS/cm (LGR S/N: 10327675)","Salinity, ppt (LGR S/N: 10327675)"
1,11/14/17 12:00:00 PM,756.3,497.0,27.70,471.0,0.2276
2,11/14/17 12:15:00 PM,757.0,501.7,27.69,475.5,0.2299
3,11/14/17 12:30:00 PM,760.5,506.9,27.74,480.0,0.2321
4,11/14/17 12:45:00 PM,764.7,513.5,27.84,485.3,0.2347
5,11/14/17 01:00:00 PM,768.4,521.4,27.91,492.1,0.2380
6,11/14/17 01:15:00 PM,769.7,525.4,27.93,495.7,0.2398
7,11/14/17 01:30:00 PM,773.4,530.1,28.02,499.2,0.2415
8,11/14/17 01:45:00 PM,778.2,540.0,28.14,507.4,0.2455
9,11/14/17 02:00:00 PM,782.8,549.0,28.26,514.6,0.2491
10,11/14/17 02:15:00 PM,798.0,563.6,11.02,773.9,0.3784
11,11/14/17 02:30:00 PM,797.1,562.8,10.98,773.6,0.3782
12,11/14/17 02:45:00 PM,795.2,560.8,10.93,771.8,0.3773
13,11/14/17 03:00:00 PM,794.3,559.2,10.93,769.6,0.3762
14,11/14/17 03:15:00 PM,778.0,546.7,28.19,513.2,0.2484
15,11/14/17 03:30:00 PM,776.7,544.3,28.17,511.1,0.2474
16,11/14/17 03:45:00 PM,775.2,542.3,28.14,509.5,0.2466
17,11/14/17 04:00:00 PM,772.7,539.6,28.11,507.3,0.2455
18,11/14/17 04:15:00 PM,769.4,535.2,28.08,503.4,0.2436
19,11/14/17 04:30:00 PM,766.7,531.7,28.04,500.5,0.2422
20,11/14/17 04:45:00 PM,764.9,527.3,28.00,496.8,0.2403
21,11/14/17 05:00:00 PM,762.5,523.4,27.95,493.6,0.2387
22,11/14/17 05:15:00 PM,760.5,519.8,27.95,490.2,0.2371
23,11/14/17 05:30:00 PM,757.7,515.5,27.88,486.8,0.2354
24,11/14/17 05:45:00 PM,757.0,510.8,27.85,482.6,0.2334
25,11/14/17 06:00:00 PM,753.3,506.0,27.79,478.7,0.2314
26,11/14/17 06:15:00 PM,749.0,499.0,27.68,473.1,0.2287
27,11/14/17 06:30:00 PM,745.4,491.9,27.58,467.2,0.2258
28,11/14/17 06:45:00 PM,742.3,486.4,27.51,462.6,0.2236
29,11/14/17 07:00:00 PM,741.0,482.8,27.50,459.3,0.2219
30,11/14/17 07:15:00 PM,743.1,483.6,27.53,459.8,0.2222
31,11/14/17 07:30:00 PM,742.9,483.6,27.51,460.0,0.2223
32,11/14/17 07:45:00 PM,740.4,481.6,27.47,458.4,0.2215
33,11/14/17 08:00:00 PM,738.3,479.3,27.41,456.8,0.2207
34,11/14/17 08:15:00 PM,736.9,475.0,27.37,453.0,0.2189
35,11/14/17 08:30:00 PM,735.8,473.8,27.37,451.9,0.2183
36,11/14/17 08:45:00 PM,733.3,471.4,27.31,450.1,0.2174
37,11/14/17 09:00:00 PM,733.8,471.0,27.31,449.8,0.2173
38,11/14/17 09:15:00 PM,732.8,469.9,27.28,449.0,0.2169
39,11/14/17 09:30:00 PM,733.1,470.3,27.26,449.5,0.2172
40,11/14/17 09:45:00 PM,727.0,466.3,27.22,446.1,0.2155
41,11/14/17 10:00:00 PM,728.0,465.6,27.18,445.7,0.2153
42,11/14/17 10:15:00 PM,728.4,464.8,27.18,445.0,0.2149
43,11/14/17 10:30:00 PM,727.1,463.6,27.15,444.1,0.2145
44,11/14/17 10:45:00 PM,724.5,461.6,27.11,442.5,0.2137
45,11/14/17 11:00:00 PM,724.0,461.3,27.09,442.4,0.2137
46,11/14/17 11:15:00 PM,723.6,460.1,27.07,441.4,0.2132
47,11/14/17 11:30:00 PM,723.7,459.7,27.05,441.2,0.2131
48,11/14/17 11:45:00 PM,724.1,460.1,27.04,441.7,0.2133
49,11/15/17 12:00:00 AM,725.4,460.9,27.04,442.5,0.2137
50,11/15/17 12:15:00 AM,725.3,460.5,27.01,442.3,0.2136
51,11/15/17 12:30:00 AM,725.3,460.5,27.00,442.4,0.2137
52,11/15/17 12:45:00 AM,725.1,460.1,26.97,442.3,0.2136
53,11/15/17 01:00:00 AM,725.4,460.9,26.97,443.1,0.2140
54,11/15/17 01:15:00 AM,725.4,460.9,26.94,443.3,0.2141
55,11/15/17 01:30:00 AM,725.6,460.9,26.93,443.4,0.2142
56,11/15/17 01:45:00 AM,726.9,462.5,26.93,445.0,0.2149
57,11/15/17 02:00:00 AM,725.5,462.5,26.90,445.2,0.2150
58,11/15/17 02:15:00 AM,723.5,465.3,26.85,448.4,0.2166
59,11/15/17 02:30:00 AM,722.1,470.9,26.80,454.2,0.2194
60,11/15/17 02:45:00 AM,721.5,475.3,26.75,458.9,0.2217
61,11/15/17 03:00:00 AM,722.4,479.2,26.77,462.5,0.2235
62,11/15/17 03:15:00 AM,721.9,482.8,26.73,466.3,0.2254
63,11/15/17 03:30:00 AM,722.2,490.8,26.71,474.2,0.2293
64,11/15/17 03:45:00 AM,722.0,494.7,26.69,478.2,0.2312
65,11/15/17 04:00:00 AM,720.0,511.8,26.62,495.4,0.2396
66,11/15/17 04:15:00 AM,719.8,518.2,26.59,501.9,0.2428
67,11/15/17 04:30:00 AM,719.5,526.9,26.56,510.6,0.2471
68,11/15/17 04:45:00 AM,716.4,538.1,26.47,522.4,0.2529
69,11/15/17 05:00:00 AM,714.2,561.6,26.44,545.6,0.2644
70,11/15/17 05:15:00 AM,712.6,582.0,26.39,566.0,0.2745
71,11/15/17 05:30:00 AM,712.8,594.7,26.36,578.7,0.2807
72,11/15/17 05:45:00 AM,711.5,663.9,26.33,646.4,0.3144
73,11/15/17 06:00:00 AM,710.6,696.4,26.32,678.2,0.3303
74,11/15/17 06:15:00 AM,710.8,724.5,26.31,705.7,0.3441
75,11/15/17 06:30:00 AM,710.9,754.2,26.27,735.2,0.3589
76,11/15/17 06:45:00 AM,712.0,771.5,26.27,752.0,0.3674
77,11/15/17 07:00:00 AM,712.5,770.8,26.25,751.7,0.3672
78,11/15/17 07:15:00 AM,714.3,783.6,26.28,763.7,0.3732
79,11/15/17 07:30:00 AM,714.5,784.4,26.28,764.5,0.3736
80,11/15/17 07:45:00 AM,715.8,764.7,26.28,745.3,0.3640
81,11/15/17 08:00:00 AM,718.9,756.6,26.35,736.3,0.3595
82,11/15/17 08:15:00 AM,720.5,744.9,26.38,724.5,0.3535
83,11/15/17 08:30:00 AM,722.4,733.6,26.44,712.7,0.3476
84,11/15/17 08:45:00 AM,728.8,711.4,26.55,689.6,0.3360
85,11/15/17 09:00:00 AM,732.1,692.6,26.56,671.2,0.3268
86,11/15/17 09:15:00 AM,742.5,662.8,26.77,639.7,0.3111
87,11/15/17 09:30:00 AM,747.1,622.3,26.90,599.1,0.2909
88,11/15/17 09:45:00 AM,747.4,600.4,26.93,577.6,0.2802
89,11/15/17 10:00:00 AM,753.6,573.2,27.05,550.2,0.2666
90,11/15/17 10:15:00 AM,760.0,548.4,27.23,524.5,0.2540
91,11/15/17 10:30:00 AM,766.5,526.9,27.35,502.7,0.2432
92,11/15/17 10:45:00 AM,772.0,507.8,27.46,483.5,0.2338
93,11/15/17 11:00:00 AM,778.3,497.8,27.62,472.5,0.2284
94,11/15/17 11:15:00 AM,784.9,497.3,27.77,470.6,0.2275
95,11/15/17 11:30:00 AM,791.4,500.4,27.91,472.3,0.2283
96,11/15/17 11:45:00 AM,801.3,508.2,28.12,477.7,0.2309
97,11/15/17 12:00:00 PM,808.1,515.7,28.33,482.8,0.2334
98,11/15/17 12:15:00 PM,812.6,520.8,28.41,486.8,0.2354
99,11/15/17 12:30:00 PM,819.4,529.1,28.45,494.1,0.2390
100,11/15/17 12:45:00 PM,825.4,536.5,28.57,499.9,0.2418
101,11/15/17 01:00:00 PM,830.2,544.0,28.68,505.8,0.2448
102,11/15/17 01:15:00 PM,832.3,547.9,28.72,509.1,0.2464
103,11/15/17 01:30:00 PM,832.0,549.2,28.69,510.6,0.2471
104,11/15/17 01:45:00 PM,832.5,550.3,28.71,511.4,0.2475
105,11/15/17 02:00:00 PM,833.2,551.1,28.71,512.1,0.2479
106,11/15/17 02:15:00 PM,834.4,551.1,28.72,512.0,0.2478
107,11/15/17 02:30:00 PM,836.4,553.9,28.76,514.2,0.2489
108,11/15/17 02:45:00 PM,837.7,556.2,28.80,516.0,0.2498
109,11/15/17 03:00:00 PM,837.8,558.6,28.79,518.3,0.2509
110,11/15/17 03:15:00 PM,838.8,561.4,28.82,520.6,0.2520
111,11/15/17 03:30:00 PM,838.8,563.0,28.80,522.3,0.2529
112,11/15/17 03:45:00 PM,837.3,561.8,28.75,521.7,0.2526
113,11/15/17 04:00:00 PM,836.6,559.1,28.72,519.5,0.2515
114,11/15/17 04:15:00 PM,834.9,555.5,28.68,516.5,0.2500
115,11/15/17 04:30:00 PM,833.6,552.8,28.65,514.3,0.2489
116,11/15/17 04:45:00 PM,833.1,550.4,28.63,512.3,0.2479
117,11/15/17 05:00:00 PM,830.7,547.2,28.57,509.9,0.2468
118,11/15/17 05:15:00 PM,828.4,544.5,28.53,507.7,0.2457
119,11/15/17 05:30:00 PM,826.0,541.4,28.46,505.5,0.2446
120,11/15/17 05:45:00 PM,823.6,537.4,28.41,502.3,0.2430
121,11/15/17 06:00:00 PM,820.2,537.0,28.37,502.3,0.2430
122,11/15/17 06:15:00 PM,817.4,530.3,28.30,496.7,0.2403
123,11/15/17 06:30:00 PM,805.9,519.7,28.17,488.0,0.2360
124,11/15/17 06:45:00 PM,796.1,510.7,28.04,480.8,0.2324
125,11/15/17 07:00:00 PM,796.3,509.5,28.02,479.8,0.2320
126,11/15/17 07:15:00 PM,795.1,508.7,28.03,479.0,0.2316
127,11/15/17 07:30:00 PM,795.8,509.1,28.03,479.4,0.2318
128,11/15/17 07:45:00 PM,797.7,509.8,28.07,479.6,0.2319
129,11/15/17 08:00:00 PM,802.0,512.2,28.08,481.8,0.2330
130,11/15/17 08:15:00 PM,802.4,512.6,28.10,482.0,0.2331
131,11/15/17 08:30:00 PM,802.7,513.0,28.08,482.6,0.2333
132,11/15/17 08:45:00 PM,802.6,513.0,28.08,482.6,0.2333
133,11/15/17 09:00:00 PM,804.0,513.4,28.08,482.9,0.2335
134,11/15/17 09:15:00 PM,803.9,513.8,28.07,483.4,0.2337
135,11/15/17 09:30:00 PM,804.2,513.4,28.04,483.3,0.2337
136,11/15/17 09:45:00 PM,804.1,513.4,28.03,483.4,0.2337
137,11/15/17 10:00:00 PM,803.7,513.0,28.03,483.0,0.2336
138,11/15/17 10:15:00 PM,803.2,513.0,28.03,483.0,0.2336
139,11/15/17 10:30:00 PM,802.9,512.3,28.02,482.5,0.2333
140,11/15/17 10:45:00 PM,802.4,511.5,28.00,481.9,0.2330
141,11/15/17 11:00:00 PM,801.0,510.3,28.00,480.8,0.2324
142,11/15/17 11:15:00 PM,801.2,512.3,28.00,482.6,0.2334
143,11/15/17 11:30:00 PM,802.2,510.7,27.99,481.2,0.2327
144,11/15/17 11:45:00 PM,801.6,510.3,27.99,480.9,0.2325
145,11/16/17 12:00:00 AM,798.7,508.3,27.95,479.3,0.2318
146,11/16/17 12:15:00 AM,799.0,507.9,27.96,478.9,0.2315
