Date,Time,Cond,Depth,ODO_Conc,ODO_PC,Salinity,SpCond,Temp
3/2/2011,14:15,,1.525,10.79,96.9,1.96,3.694,10.04
3/2/2011,14:30,,1.52,10.76,96.8,1.96,3.695,10.15
3/2/2011,14:45,,1.524,10.77,97.6,1.96,3.692,10.44
3/2/2011,15:00,,1.521,10.8,98.1,1.95,3.687,10.53
3/2/2011,15:15,,1.527,10.84,98.7,1.96,3.69,10.63
3/2/2011,15:30,,1.526,10.84,99,1.95,3.688,10.75
3/2/2011,15:45,,1.524,10.9,99.7,1.95,3.686,10.88
3/2/2011,16:00,,1.527,10.85,99.5,1.95,3.686,10.96
3/2/2011,16:15,,1.526,10.91,100.3,1.95,3.684,11.06
3/2/2011,16:30,,1.522,11.08,102.1,1.95,3.68,11.19
3/2/2011,16:45,,1.526,11.01,101.7,1.95,3.681,11.3
3/2/2011,17:00,,1.525,10.82,100.3,1.95,3.679,11.4
3/2/2011,17:15,,1.527,7.97,73.7,1.95,3.68,11.32
3/2/2011,17:30,,1.527,6.25,57.8,1.95,3.683,11.3
3/2/2011,17:45,,1.526,5.03,46.4,1.95,3.685,11.25
3/2/2011,18:00,,1.526,7.34,67.8,1.95,3.683,11.29
3/2/2011,18:15,,1.526,9.75,90.2,1.95,3.68,11.35
3/2/2011,18:30,,1.523,11.12,102.7,1.95,3.677,11.26
3/2/2011,18:45,,1.521,11.19,102.8,1.95,3.684,11.03
3/2/2011,19:00,,1.525,11.18,102.7,1.95,3.686,11.04
3/2/2011,19:15,,1.521,11.01,100.8,1.96,3.689,10.9
3/2/2011,19:30,,1.522,10.93,99.8,1.96,3.694,10.79
3/2/2011,19:45,,1.527,10.83,98.7,1.95,3.686,10.68
3/2/2011,20:00,,1.523,10.86,98.9,1.96,3.698,10.66
3/2/2011,20:15,,1.522,10.71,97.3,1.96,3.703,10.52
3/2/2011,20:30,,1.527,10.62,96.5,1.96,3.705,10.57
3/2/2011,20:45,,1.524,10.53,95.5,1.96,3.706,10.47
3/2/2011,21:00,,1.527,10.37,93.8,1.97,3.717,10.35
3/2/2011,21:15,,1.522,10.14,91.1,1.98,3.733,10.04
3/2/2011,21:30,,1.518,10.12,90.9,1.97,3.716,10.06
3/2/2011,21:45,,1.517,9.19,82.3,1.97,3.717,9.96
3/2/2011,22:00,,1.519,9.57,85.5,1.97,3.726,9.82
3/2/2011,22:15,,1.507,9.84,87.1,1.99,3.753,9.42
3/2/2011,22:30,,1.51,10.06,88.2,2,3.768,9.07
3/2/2011,22:45,,1.513,10.03,88.1,2,3.774,9.07
3/2/2011,23:00,,1.513,10.15,88.7,2.01,3.788,8.89
3/2/2011,23:15,,1.512,10.24,89.3,2.01,3.792,8.79
3/2/2011,23:30,,1.515,10.23,88.9,2.01,3.799,8.67
3/2/2011,23:45,,1.52,10.26,88.8,2.01,3.803,8.49
3/3/2011,0:00,,1.518,10.17,87.5,2.01,3.805,8.22
3/3/2011,0:15,,1.515,10.24,87.7,2.03,3.837,8.07
3/3/2011,0:30,,1.5,10.39,88.6,2.04,3.85,7.85
3/3/2011,0:45,,1.503,10.31,87.7,2.05,3.87,7.78
3/3/2011,1:00,,1.508,10.54,89.1,2.05,3.878,7.52
3/3/2011,1:15,,1.512,10.43,88.1,2.06,3.885,7.48
3/3/2011,1:30,,1.514,10.52,88.4,2.06,3.89,7.26
3/3/2011,1:45,,1.512,10.5,87.7,2.05,3.883,7.03
3/3/2011,2:00,,1.504,10.35,85.7,2.06,3.898,6.67
3/3/2011,2:15,,1.508,10.69,88.1,2.08,3.939,6.44
3/3/2011,2:30,,1.509,10.73,88.2,2.08,3.934,6.35
3/3/2011,2:45,,1.504,10.77,88.1,2.08,3.934,6.21
3/3/2011,3:00,,1.517,10.95,89.1,2.08,3.934,5.97
3/3/2011,3:15,,1.507,10.9,88.2,2.08,3.947,5.74
3/3/2011,3:30,,1.505,10.87,87.9,2.11,3.984,5.72
3/3/2011,3:45,,1.511,10.93,87.8,2.11,3.99,5.47
3/3/2011,4:00,,1.507,10.99,87.6,2.1,3.984,5.13
3/3/2011,4:15,,1.513,11.26,89.2,2.09,3.968,4.91
3/3/2011,4:30,,1.508,11.32,89.4,2.1,3.983,4.79
3/3/2011,4:45,,1.507,11.3,88.7,2.11,4.013,4.57
3/3/2011,5:00,,1.513,11.4,89.5,2.11,4.008,4.57
3/3/2011,5:15,,1.512,11.26,87.5,2.1,3.994,4.17
3/3/2011,5:30,,1.505,11.27,87.3,2.1,3.987,4.06
3/3/2011,5:45,,1.51,11.34,87.7,2.1,3.999,4.01
3/3/2011,6:00,,1.507,11.37,87.9,2.11,4.011,3.97
3/3/2011,6:15,,1.512,11.45,88,2.11,4.023,3.75
3/3/2011,6:30,,1.508,11.5,88.1,2.12,4.031,3.62
3/3/2011,6:45,,1.51,11.65,89.1,2.12,4.032,3.57
3/3/2011,7:00,,1.501,11.64,88.1,2.12,4.045,3.15
3/3/2011,7:15,,1.5,11.87,89.5,2.13,4.068,2.99
3/3/2011,7:30,,1.507,0,0,2.15,4.091,2.82
3/3/2011,7:45,,1.511,0,0,2.16,4.123,2.6
3/3/2011,8:00,,1.507,0,0,2.17,4.142,2.48
3/3/2011,8:15,,1.507,0,0,2.18,4.153,2.45
3/3/2011,8:30,,1.506,11.92,90.2,2.16,4.116,3.16
3/3/2011,8:45,,1.505,11.83,90.3,2.15,4.098,3.5
3/3/2011,9:00,,1.508,11.87,90.6,2.16,4.102,3.47
3/3/2011,9:15,,1.503,11.92,91.2,2.17,4.117,3.55
3/3/2011,9:30,,1.505,12,91.6,2.18,4.139,3.46
3/3/2011,9:45,,1.503,0,0,2.2,4.195,2.79
3/3/2011,10:00,,1.504,0,0,2.23,4.242,2.57
3/3/2011,10:15,,1.506,0,0,2.24,4.27,2.56
