Date,Time,Cond,Depth,ODO_Conc,ODO_PC,Salinity,SpCond,Temp
4/1/2014,0:00,,1.571,11.07,104.9,0.26,0.537,12.9
4/1/2014,0:15,,1.57,10.55,99.9,0.26,0.537,12.85
4/1/2014,0:30,,1.572,10.37,98.1,0.26,0.538,12.81
4/1/2014,0:45,,1.57,10.18,96.4,0.26,0.538,12.8
4/1/2014,1:00,,1.57,10.15,95.9,0.26,0.538,12.75
4/1/2014,1:15,,1.569,10.33,97.4,0.26,0.539,12.64
4/1/2014,1:30,,1.569,10.2,96.2,0.26,0.539,12.61
4/1/2014,1:45,,1.568,10.26,96.4,0.26,0.539,12.47
4/1/2014,2:00,,1.567,10.13,95,0.26,0.539,12.39
4/1/2014,2:15,,1.566,10.04,94,0.26,0.538,12.33
4/1/2014,2:30,,1.564,9.94,93,0.26,0.539,12.31
4/1/2014,2:45,,1.563,9.84,92,0.26,0.538,12.26
4/1/2014,3:00,,1.563,9.82,91.5,0.26,0.538,12.09
4/1/2014,3:15,,1.561,9.79,91.1,0.26,0.538,12.05
4/1/2014,3:30,,1.56,9.68,90,0.26,0.538,11.98
4/1/2014,3:45,,1.559,9.6,89,0.26,0.539,11.87
4/1/2014,4:00,,1.558,9.5,87.8,0.26,0.539,11.74
4/1/2014,4:15,,1.557,9.36,86.2,0.26,0.54,11.63
4/1/2014,4:30,,1.557,9.31,85.5,0.26,0.54,11.51
4/1/2014,4:45,,1.554,9.29,85.2,0.26,0.541,11.44
4/1/2014,5:00,,1.553,9.32,85.3,0.26,0.541,11.36
4/1/2014,5:15,,1.552,9.32,85.2,0.26,0.541,11.29
4/1/2014,5:30,,1.551,9.38,85.6,0.26,0.541,11.19
4/1/2014,5:45,,1.549,9.39,85.7,0.26,0.541,11.2
4/1/2014,6:00,,1.549,9.39,85.8,0.26,0.541,11.23
4/1/2014,6:15,,1.548,9.4,85.7,0.26,0.54,11.15
4/1/2014,6:30,,1.547,9.43,85.6,0.26,0.54,10.99
4/1/2014,6:45,,1.546,9.41,85.3,0.26,0.539,10.89
4/1/2014,7:00,,1.544,9.35,84.5,0.26,0.538,10.79
4/1/2014,7:15,,1.542,9.34,84.4,0.26,0.538,10.75
4/1/2014,7:30,,1.541,9.25,83.4,0.26,0.539,10.68
4/1/2014,7:45,,1.541,9.19,82.9,0.26,0.539,10.67
4/1/2014,8:00,,1.54,9.09,81.9,0.26,0.539,10.65
4/1/2014,8:15,,1.54,9.1,82,0.26,0.54,10.64
4/1/2014,8:30,,1.539,9.07,81.7,0.26,0.54,10.65
4/1/2014,8:45,,1.539,9.06,81.6,0.26,0.541,10.64
4/1/2014,9:00,,1.54,9.07,81.7,0.26,0.541,10.65
4/1/2014,9:15,,1.539,9.12,82.2,0.26,0.542,10.67
