Date,Time,Depth,ODO_Conc,ODO_PC,Salinity,SpCond,Temp
4/9/2010,11:15,0,8.77,98.8,0,0,21.22
4/9/2010,11:30,0.002,8.75,99.2,0,0,21.56
4/9/2010,11:45,-0.001,8.71,99.2,0,0,21.74
4/9/2010,12:00,0.001,8.74,99.7,0,0,21.88
4/9/2010,12:15,0.001,8.7,99.4,0,0,21.97
4/9/2010,12:30,0.001,8.68,99.2,0,0,22
4/20/2010,12:30,1.104,10.65,116.9,8.19,14.09,17.45
4/20/2010,12:45,1.048,10.58,116.2,8.39,14.4,17.42
4/20/2010,13:00,1.053,10.14,111.5,8.49,14.56,17.47
4/20/2010,13:15,0.668,10.16,112.5,8.54,14.64,17.8
4/20/2010,13:30,0.68,10.41,115.9,8.57,14.69,18.06
4/20/2010,13:45,0.665,10.79,121.2,8.47,14.53,18.55
4/20/2010,14:00,0.647,11.36,129,8.74,14.96,19.01
4/20/2010,14:15,0.628,11.47,131.3,8.72,14.94,19.4
4/20/2010,14:30,0.613,11.43,131.4,8.72,14.93,19.66
4/20/2010,14:45,0.598,11.65,135.5,8.73,14.95,20.24
4/20/2010,15:00,0.584,11.85,139.5,8.85,15.15,20.8
4/20/2010,15:15,0.57,11.75,138.6,8.87,15.18,20.92
4/20/2010,15:30,0.559,11.81,139.5,8.85,15.16,21.01
4/20/2010,15:45,0.547,12.05,142.7,8.81,15.1,21.13
4/20/2010,16:00,0.54,12.15,144,8.77,15.03,21.23
4/20/2010,16:15,0.53,12.28,145.6,8.78,15.05,21.21
4/20/2010,16:30,0.527,12.33,146.3,8.79,15.06,21.27
4/20/2010,16:45,0.537,11.91,141.9,8.81,15.09,21.47
4/20/2010,17:00,0.551,11.46,137.2,8.83,15.14,21.74
4/20/2010,17:15,0.578,12.06,132.6,8.42,14.44,17.48
4/20/2010,17:30,0.595,12.16,131.7,8.44,14.48,16.74
4/20/2010,17:45,0.622,12.06,129.9,8.49,14.56,16.44
4/20/2010,18:00,0.65,12.06,129.1,8.52,14.6,16.16
4/20/2010,18:15,0.684,11.97,127.6,8.55,14.65,15.98
4/20/2010,18:30,0.718,11.91,126.8,8.56,14.67,15.9
4/20/2010,18:45,0.751,11.78,125.3,8.57,14.69,15.83
4/20/2010,19:00,0.79,11.75,124.8,8.57,14.69,15.76
4/20/2010,19:15,0.827,11.67,123.8,8.58,14.7,15.69
4/20/2010,19:30,0.865,11.62,123.1,8.57,14.69,15.63
4/20/2010,19:45,0.893,11.54,122.3,8.56,14.66,15.66
4/20/2010,20:00,0.928,11.4,120.4,8.57,14.69,15.49
4/20/2010,20:15,0.941,11.14,117.4,8.61,14.75,15.37
4/20/2010,20:30,0.956,10.98,115.5,8.62,14.77,15.29
4/20/2010,20:45,0.966,10.84,113.9,8.62,14.77,15.27
4/20/2010,21:00,0.963,10.77,113.3,8.61,14.75,15.28
4/20/2010,21:15,0.944,10.82,113.9,8.58,14.71,15.32
4/20/2010,21:30,0.923,10.69,112.4,8.58,14.71,15.29
4/20/2010,21:45,0.9,10.43,110.3,8.54,14.64,15.55
4/20/2010,22:00,0.877,10.33,110,8.51,14.58,15.89
4/20/2010,22:15,0.86,10.3,109.7,8.49,14.56,15.96
4/20/2010,22:30,0.841,10.23,108.7,8.5,14.57,15.84
4/20/2010,22:45,0.816,10.14,107.6,8.51,14.58,15.74
4/20/2010,23:00,0.796,10.07,106.7,8.51,14.59,15.66
4/20/2010,23:15,0.773,10.07,106.5,8.51,14.59,15.55
4/20/2010,23:30,0.75,10.01,105.6,8.5,14.57,15.47
4/20/2010,23:45,0.728,9.93,104.5,8.51,14.58,15.35
4/21/2010,0:00,0.704,9.85,103.6,8.51,14.59,15.31
4/21/2010,0:15,0.685,9.75,102.4,8.51,14.6,15.24
4/21/2010,0:30,0.662,9.68,101.5,8.52,14.6,15.17
4/21/2010,0:45,0.644,9.49,99.6,8.52,14.6,15.18
4/21/2010,1:00,0.624,9.4,98.4,8.53,14.62,15.12
4/21/2010,1:15,0.607,9.26,97,8.51,14.59,15.12
4/21/2010,1:30,0.591,9.09,95.3,8.49,14.56,15.13
4/21/2010,1:45,0.573,8.93,93.5,8.49,14.55,15.1
4/21/2010,2:00,0.557,8.85,92.2,8.51,14.6,14.85
4/21/2010,2:15,0.543,8.71,90.8,8.46,14.52,14.96
4/21/2010,2:30,0.528,8.59,89.6,8.47,14.53,14.97
4/21/2010,2:45,0.515,8.43,88.1,8.45,14.5,15.02
4/21/2010,3:00,0.502,8.26,86.5,8.43,14.46,15.14
4/21/2010,3:15,0.491,8.09,84.7,8.42,14.45,15.16
4/21/2010,3:30,0.481,7.97,83.3,8.45,14.49,15.04
4/21/2010,3:45,0.474,7.87,82.2,8.44,14.48,14.98
4/21/2010,4:00,0.474,7.92,82.6,8.45,14.49,14.95
4/21/2010,4:15,0.482,8.3,86.4,8.5,14.58,14.85
4/21/2010,4:30,0.499,7.18,74.8,8.73,14.94,14.8
4/21/2010,4:45,0.517,9.78,101.7,8.74,14.96,14.73
4/21/2010,5:00,0.546,9.88,102.6,8.76,14.98,14.67
4/21/2010,5:15,0.577,10.05,104.5,8.76,14.98,14.7
4/21/2010,5:30,0.613,10.07,104.6,8.75,14.97,14.64
4/21/2010,5:45,0.653,10.07,104.6,8.77,15,14.61
4/21/2010,6:00,0.693,10.08,104.6,8.78,15.01,14.6
4/21/2010,6:15,0.739,10.14,105.4,8.78,15.02,14.66
4/21/2010,6:30,0.785,10.15,105.5,8.78,15.01,14.65
4/21/2010,6:45,0.831,10.2,105.9,8.78,15.03,14.63
4/21/2010,7:00,0.885,10.21,106,8.79,15.04,14.63
4/21/2010,7:15,0.935,10.12,105,8.81,15.06,14.58
4/21/2010,7:30,0.986,9.95,103.2,8.78,15.02,14.55
4/21/2010,7:45,1.036,9.96,103.2,8.8,15.05,14.53
4/21/2010,8:00,1.077,10.1,104.7,8.82,15.08,14.54
4/21/2010,8:15,1.127,10.07,104.5,8.83,15.1,14.56
4/21/2010,8:30,1.159,10.32,107.2,8.84,15.12,14.62
4/21/2010,8:45,1.196,10.16,105.4,8.81,15.07,14.59
4/21/2010,9:00,1.23,10.33,107.4,8.82,15.09,14.7
4/21/2010,9:15,1.249,10.4,108.2,8.87,15.16,14.73
4/21/2010,9:30,1.266,10.15,105.5,8.82,15.08,14.7
4/21/2010,9:45,1.276,9.84,102.5,8.81,15.07,14.75
4/21/2010,10:00,1.273,9.98,104,8.81,15.07,14.77
4/21/2010,10:15,1.262,10.06,105,8.83,15.09,14.87
4/21/2010,10:30,1.241,9.79,102.4,8.85,15.13,14.92
4/21/2010,10:45,1.219,10.07,105.4,8.88,15.18,14.96
4/21/2010,11:00,1.198,9.68,101.2,8.92,15.25,14.89
4/21/2010,11:15,1.173,10.04,104.9,8.93,15.25,14.9
4/21/2010,11:30,1.146,10.15,106.2,8.93,15.25,14.95
4/21/2010,11:45,1.125,10.23,107.3,8.93,15.25,15.04
4/21/2010,12:00,1.099,10.52,110.4,8.91,15.22,15.11
4/21/2010,12:15,1.064,10.76,113.1,8.9,15.2,15.17
4/21/2010,12:30,1.038,10.9,114.6,8.89,15.19,15.19
4/21/2010,12:45,1.009,11.03,115.9,8.85,15.13,15.2
4/21/2010,13:00,0.981,11.16,117.3,8.82,15.08,15.21
4/21/2010,13:15,0.953,11.22,117.9,8.78,15.02,15.22
4/21/2010,13:30,0.928,11.27,118.5,8.75,14.97,15.25
4/21/2010,13:45,0.898,11.3,118.9,8.73,14.93,15.28
4/21/2010,14:00,0.871,11.39,119.9,8.73,14.94,15.31
4/21/2010,14:15,0.846,11.55,121.7,8.75,14.96,15.34
4/21/2010,14:30,0.822,11.54,121.7,8.75,14.98,15.37
4/21/2010,14:45,0.801,11.61,122.4,8.76,14.98,15.36
4/21/2010,15:00,0.778,11.71,123.5,8.73,14.94,15.38
4/21/2010,15:15,0.759,11.8,124.5,8.69,14.87,15.42
4/21/2010,15:30,0.738,11.79,124.4,8.67,14.85,15.43
4/21/2010,15:45,0.72,11.83,124.8,8.66,14.83,15.43
4/21/2010,16:00,0.708,11.87,125.3,8.68,14.86,15.44
4/21/2010,16:15,0.693,11.94,126.3,8.7,14.89,15.51
4/21/2010,16:30,0.685,11.97,126.6,8.7,14.89,15.54
4/21/2010,16:45,0.679,11.98,126.8,8.7,14.89,15.56
