Customer:,Dominion - Cove Point,,,,,,,,,
Exported parameters:,Generic SDI12/Wind Dir,Generic SDI12/Wind Speed Min,Generic SDI12/Wind Speed,Generic SDI12/Wind Speed Max,Generic SDI12/Air Temp,Generic SDI12/RH,Generic SDI12/BP,Generic SDI12/Rain Fall,Generic SDI12/Hail Intensity,
Start Date:,4/19/2017 0:00,,,,,,,,,
End Date:,5/3/2017 23:59,,,,,,,,,
,,105002,105003,105004,105005,105006,105007,105008,105009,105010
Date,Time,Wind Dir,Wind Speed Min,Wind Speed,Wind Speed Max,Air Temp,RH,BP,Rain Fall,Hail Intensity
MM/dd/yyyy,HH:mm,Degrees,MPH,mph,MPH,F,%,inHg,in,Hits
4/19/2017,0:00,134,10.30000019,15.5,21,54.79999924,73.09999847,30.39999962,0,0
4/19/2017,0:15,136,10.30000019,14.80000019,19.60000038,54.79999924,75.09999847,30.38999939,0,0
4/19/2017,0:30,135,9.899999619,14.30000019,19.20000076,54.79999924,76.40000153,30.38999939,0,0
4/19/2017,0:45,131,9.699999809,13.89999962,19.5,54.59999847,76.30000305,30.38999939,0,0
4/19/2017,1:00,130,9.100000381,14.19999981,21.20000076,54.59999847,75.69999695,30.37999916,0,0
4/19/2017,1:15,135,10.60000038,14.10000038,18.79999924,54.59999847,75,30.37999916,0,0
4/19/2017,1:30,136,9.100000381,13,17.70000076,54.59999847,76.59999847,30.38999939,0,0
4/19/2017,1:45,139,9.300000191,12.89999962,18.39999962,54.5,73.80000305,30.38999939,0,0
4/19/2017,2:00,138,7.699999809,11.80000019,18.5,54.5,74,30.38999939,0,0
4/19/2017,2:15,133,7.800000191,11.80000019,16.20000076,54.29999924,69.19999695,30.38999939,0,0
4/19/2017,2:30,121,6.699999809,9.600000381,14.19999981,54.29999924,73,30.39999962,0,0
4/19/2017,2:45,112,6.800000191,9.5,13.30000019,53.90000153,74.80000305,30.39999962,0,0
4/19/2017,3:00,106,5.199999809,8.5,11.60000038,53.59999847,72.59999847,30.39999962,0,0
4/19/2017,3:15,110,4.699999809,9.300000191,13.39999962,53.59999847,71.09999847,30.39999962,0,0
4/19/2017,3:30,102,5.599999905,8.600000381,12.89999962,52.79999924,76.59999847,30.39999962,0,0
4/19/2017,3:45,102,5,8.399999619,13.5,52.79999924,76.30000305,30.39999962,0,0
4/19/2017,4:00,102,6.599999905,10.10000038,14.5,52.70000076,76.40000153,30.38999939,0,0
4/19/2017,4:15,102,6.300000191,9.300000191,13.10000038,52.5,76.59999847,30.39999962,0,0
4/19/2017,4:30,97,6.400000095,9.699999809,14,51.90000153,77.30000305,30.39999962,0,0
4/19/2017,4:45,99,5.099999905,8.800000191,13.19999981,51.79999924,76.59999847,30.40999985,0,0
4/19/2017,5:00,100,4.599999905,7.400000095,10.5,51.20000076,77.19999695,30.42000008,0,0
4/19/2017,5:15,97,4.099999905,7.300000191,10.80000019,51.20000076,77.80000305,30.42000008,0,0
4/19/2017,5:30,107,3.099999905,7.099999905,10.5,51.40000153,78,30.42000008,0,0
4/19/2017,5:45,103,3.900000095,6.099999905,8.5,51,77.69999695,30.43000031,0,0
4/19/2017,6:00,110,2.099999905,4.199999809,6.900000095,51,78.09999847,30.44000053,0,0
4/19/2017,6:15,94,1.899999976,3.599999905,5.900000095,51.20000076,78.80000305,30.44000053,0,0
4/19/2017,6:30,83,1,3.5,5.699999809,51.20000076,77.5,30.44000053,0,0
4/19/2017,6:45,65,1.5,4.099999905,7.5,51.40000153,77.09999847,30.44000053,0.008,0
4/19/2017,7:00,0,0,0,0,51.20000076,75.90000153,30.44000053,0.01,0
4/19/2017,7:15,79,1.100000024,3.400000095,5.900000095,51.59999847,75.5,30.44000053,0.008,0
4/19/2017,7:30,92,0.200000003,2.700000048,7.900000095,51.59999847,75.40000153,30.44000053,0.01,0
4/19/2017,7:45,74,0.899999976,2.900000095,11.19999981,51.79999924,75.69999695,30.44000053,0.017999999,0
4/19/2017,8:00,82,0.600000024,3.400000095,6.099999905,51.90000153,78.30000305,30.44000053,0.01,0
4/19/2017,8:15,91,2.099999905,4.300000191,6.699999809,51.90000153,76.40000153,30.44000053,0,0
4/19/2017,8:30,114,2,4.699999809,9,52.09999847,76.59999847,30.43000031,0,0
4/19/2017,8:45,113,0.899999976,3.700000048,7,52.5,75.30000305,30.43000031,0,0
4/19/2017,9:00,121,0.600000024,4.099999905,7.5,52.79999924,75.5,30.43000031,0,0
4/19/2017,9:15,115,1.899999976,4.900000095,7.300000191,53,76.59999847,30.42000008,0,0
4/19/2017,9:30,125,2.700000048,5.599999905,9.600000381,53.40000153,74.80000305,30.42000008,0,0
4/19/2017,9:45,130,3.099999905,6.099999905,8.899999619,53.59999847,74.5,30.42000008,0,0
4/19/2017,10:00,145,2.799999952,5.099999905,7.800000191,54.09999847,75,30.40999985,0,0
4/19/2017,10:15,134,3.799999952,7.099999905,10.60000038,54.79999924,74.5,30.40999985,0,0
4/19/2017,10:30,134,5,9,13.5,55.40000153,72.40000153,30.39999962,0,0
4/19/2017,10:45,143,6.599999905,10.19999981,14.39999962,55.70000076,72.59999847,30.38999939,0,0
