,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
,,Mid Point,Mid Point,Mid Point,Mid Point,Mid Point,Mid Point,Mid Point
,,00018FF7,00018FF7,00018FF7,00018FF7,00018FF7,00018FF7,EcoNet Battery
Date,Time,Temp,SpCond,Salinity,Depth,ODO Conc,ODO%,Battery
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,mg/L,%,V
Min,,12.65,1.682,0.85,1.319,5.46,66.6,12.1
Max,,31.85,2.236,1.15,1.784,11.04,124.7,14.36
Mean,,20.35,1.95,0.995,1.528,8.32,92.4,13
Median,,19.7,1.905,0.97,1.515,8.37,90.3,12.48
St.dev,,4.25,0.166,0.089,0.137,1.1,12.1,0.79
5/1/2017,0:00,27.25,2.149,1.09,1.505,6.21,78.8,12.3
5/1/2017,0:15,27.05,2.142,1.09,1.503,6.04,76.3,12.3
5/1/2017,0:30,27.03,2.137,1.09,1.501,5.95,75.1,12.3
5/1/2017,0:45,27.17,2.14,1.09,1.502,6.27,79.4,12.3
5/1/2017,1:00,27.15,2.148,1.09,1.502,6.41,81.1,12.29
5/1/2017,1:15,27.01,2.151,1.09,1.502,6.39,80.6,12.29
5/1/2017,1:30,26.89,2.143,1.09,1.501,6.34,79.8,12.29
5/1/2017,1:45,26.78,2.139,1.09,1.501,6.25,78.6,12.29
5/1/2017,2:00,26.65,2.134,1.09,1.501,6.17,77.4,12.29
5/1/2017,2:15,26.52,2.133,1.09,1.5,6.12,76.7,12.28
5/1/2017,2:30,26.38,2.139,1.09,1.501,6.07,75.7,12.28
5/1/2017,2:45,26.22,2.142,1.09,1.5,6,74.6,12.28
5/1/2017,3:00,26.08,2.143,1.09,1.502,5.92,73.5,12.28
5/1/2017,3:15,25.9,2.144,1.09,1.499,5.94,73.5,12.26
5/1/2017,3:30,25.72,2.154,1.1,1.496,5.91,72.9,12.26
5/1/2017,3:45,25.55,2.158,1.1,1.499,5.78,71.1,12.26
5/1/2017,4:00,25.41,2.161,1.1,1.498,5.72,70.1,12.26
5/1/2017,4:15,25.28,2.163,1.1,1.494,5.66,69.3,12.25
5/1/2017,4:30,25.16,2.162,1.1,1.496,5.66,69.2,12.25
5/1/2017,4:45,25.08,2.159,1.1,1.497,5.64,68.7,12.25
5/1/2017,5:00,24.95,2.156,1.1,1.493,5.61,68.2,12.24
5/1/2017,5:15,24.84,2.155,1.1,1.495,5.54,67.2,12.24
5/1/2017,5:30,24.64,2.158,1.1,1.491,5.51,66.6,12.25
5/1/2017,5:45,24.44,2.161,1.1,1.495,5.57,67.1,12.26
5/1/2017,6:00,24.29,2.165,1.11,1.495,5.61,67.4,12.26
5/1/2017,6:15,24.31,2.171,1.11,1.494,5.69,68.4,12.4
5/1/2017,6:30,24.29,2.173,1.11,1.496,5.73,68.9,12.44
5/1/2017,6:45,24.17,2.173,1.11,1.493,5.79,69.5,12.49
5/1/2017,7:00,24.01,2.171,1.11,1.494,5.8,69.4,12.59
5/1/2017,7:15,23.97,2.168,1.11,1.493,5.88,70.2,13.06
5/1/2017,7:30,23.91,2.165,1.11,1.491,5.96,71.1,13.97
5/1/2017,7:45,23.95,2.163,1.11,1.489,6.12,73.1,13.94
5/1/2017,8:00,24.04,2.162,1.1,1.499,6.24,74.6,13.92
5/1/2017,8:15,24.27,2.164,1.11,1.495,6.3,75.7,13.91
5/1/2017,8:30,24.39,2.163,1.1,1.495,6.45,77.6,13.91
5/1/2017,8:45,24.5,2.163,1.1,1.494,6.45,77.9,13.9
5/1/2017,9:00,24.75,2.159,1.1,1.488,6.56,79.6,13.9
5/1/2017,9:15,24.81,2.16,1.1,1.492,6.7,81.3,13.88
5/1/2017,9:30,24.9,2.16,1.1,1.49,6.84,83.1,13.87
