,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
,,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point,North Point
,,00018BD1,00018BD1,00018BD1,00018BD1,00018BD1,00018BD1,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,MET Station,EcoNet Battery
Date,Time,Temp,SpCond,Salinity,Depth,ODO Conc,ODO%,Air Temp,BP,RH,Wind Dir,Wind Speed,Wind Speed Min,Wind Speed Max,Rain Fall,Hail Intensity,Battery
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,mg/L,%,F,inHg,%,Degrees,mph,MPH,MPH,in,Hits,V
Min,,18.03,1.279,0.64,1.107,2.95,36.1,59.5,29.64,31.1,0,0,0,0,0,0,12.11
Max,,33.64,2.032,1.02,1.436,12.04,168.2,86.3,30.14,90.2,359,18,13.4,27.9,0.048,4,14.15
Mean,,25.94,1.796,0.906,1.3,7.71,95.8,73.08,29.93,64,181,6.2,3,10.42,0.002,0.01,12.93
Median,,25.91,1.768,0.9,1.32,7.61,92.5,73.5,29.97,65.8,189,5.5,2,9.9,0,0,12.43
St.dev,,3.72,0.107,0.054,0.08,1.74,24.6,6.35,0.11,12.8,99,3.5,2.82,4.87,0.005,0.15,0.77
6/1/2017,0:00,23.75,1.67,0.84,1.434,7.71,91.6,68.9,29.97,88.1,186,3.9,1.4,7.1,0,0,12.24
6/1/2017,0:15,23.61,1.669,0.84,1.434,7.43,88,68.5,29.98,88.5,211,3.1,0.3,7.5,0,0,12.24
6/1/2017,0:30,23.55,1.667,0.84,1.433,7.36,87.1,68.5,29.98,88.6,198,3.1,0.4,7.2,0,0,12.23
6/1/2017,0:45,23.43,1.667,0.84,1.431,7.27,85.9,68.5,29.97,88,254,3.6,0.4,8.8,0,0,12.23
6/1/2017,1:00,23.37,1.667,0.84,1.435,7.23,85.3,68,29.97,87.4,213,3.9,0.3,9.6,0,0,12.23
6/1/2017,1:15,23.29,1.668,0.84,1.435,7.19,84.7,67.6,29.96,87.6,191,3.6,0.4,7.9,0,0,12.19
6/1/2017,1:30,23.24,1.669,0.84,1.434,7.2,84.7,66.9,29.96,86.8,192,3.8,0.6,7.4,0,0,12.22
6/1/2017,1:45,23.18,1.668,0.84,1.433,7.25,85.3,66.7,29.96,84.1,210,3.4,0.7,7.7,0,0,12.2
6/1/2017,2:00,23.12,1.668,0.84,1.432,7.39,86.8,66.9,29.95,82.6,199,3.7,0.3,7,0,0,12.2
6/1/2017,2:15,23.05,1.669,0.84,1.433,7.06,82.7,66.9,29.95,80,215,3.3,0.5,8.2,0,0,12.19
