Customer:,Dominion - Cove Point,,,,,,
Exported parameters:,YSI 6 Series/Temp,YSI 6 Series/SpCond,YSI 6 Series/Salinity,YSI 6 Series/Depth,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,3/23/2017 0:00,,,,,,
End Date:,4/5/2017 23:59,,,,,,
,,162782,162787,162792,162801,162852,162853
Date,Time,Temp,SpCond,Salinity,Depth,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,%,mg/L
3/23/2017,0:00,7.849999905,2.479000092,1.279999971,1.312000036,90.80000305,10.71000004
3/23/2017,0:15,7.699999809,2.479000092,1.279999971,1.309999943,90.69999695,10.72999954
3/23/2017,0:30,7.570000172,2.477999926,1.279999971,1.307000041,90.69999695,10.77000046
3/23/2017,0:45,7.420000076,2.473999977,1.279999971,1.312999964,90.30000305,10.76000023
3/23/2017,1:00,7.110000134,2.461999893,1.269999981,1.305999994,89.40000153,10.72999954
3/23/2017,1:15,6.920000076,2.467999935,1.269999981,1.315000057,89.69999695,10.81999969
3/23/2017,1:30,6.53000021,2.440000057,1.25999999,1.31099999,88.90000153,10.82999992
3/23/2017,1:45,6.409999847,2.424999952,1.25,1.312999964,88.59999847,10.82999992
3/23/2017,2:00,6.190000057,2.417000055,1.24000001,1.312000036,88.5,10.88000011
3/23/2017,2:15,5.78000021,2.40199995,1.230000019,1.309000015,88.40000153,10.97999954
3/23/2017,2:30,5.75,2.417000055,1.24000001,1.309000015,88.59999847,11
3/23/2017,2:45,5.849999905,2.440999985,1.25999999,1.31400001,88.5,10.97000027
3/23/2017,3:00,5.849999905,2.450000048,1.25999999,1.309000015,88.40000153,10.96000004
3/23/2017,3:15,5.510000229,2.447000027,1.25999999,1.31099999,88.19999695,11.02000046
3/23/2017,3:30,5.170000076,2.457999945,1.25999999,1.309000015,88.30000305,11.13000011
3/23/2017,3:45,5.059999943,2.457999945,1.25999999,1.309000015,88.40000153,11.18000031
3/23/2017,4:00,4.929999828,2.450000048,1.25999999,1.305999994,88.09999847,11.18000031
3/23/2017,4:15,4.940000057,2.453999996,1.25999999,1.304999948,88,11.15999985
3/23/2017,4:30,4.820000172,2.457999945,1.25999999,1.307000041,87.90000153,11.18999958
3/23/2017,4:45,4.699999809,2.474999905,1.269999981,1.305999994,88.30000305,11.27000046
3/23/2017,5:00,4.590000153,2.480999947,1.269999981,1.302999973,88.40000153,11.31000042
3/23/2017,5:15,4.46999979,2.484999895,1.279999971,1.305999994,88.30000305,11.34000015
3/23/2017,5:30,4.360000134,2.489000082,1.279999971,1.307000041,88,11.32999992
3/23/2017,5:45,4.230000019,2.490999937,1.279999971,1.300999999,87.90000153,11.35999966
3/23/2017,6:00,4.110000134,2.484999895,1.269999981,1.302000046,87.69999695,11.35999966
3/23/2017,6:15,3.940000057,2.479000092,1.269999981,1.304999948,87.30000305,11.36999989
3/23/2017,6:30,3.809999943,2.476999998,1.269999981,1.299999952,87.30000305,11.40999985
3/23/2017,6:45,3.660000086,2.48300004,1.269999981,1.305999994,87.90000153,11.52999973
3/23/2017,7:00,3.599999905,2.487999916,1.269999981,1.304999948,88.40000153,11.60999966
3/23/2017,7:15,3.50999999,2.492000103,1.279999971,1.305999994,88.80000305,11.68999958
3/23/2017,7:30,3.460000038,2.49000001,1.269999981,1.302999973,89,11.72999954
3/23/2017,7:45,3.599999905,2.493999958,1.279999971,1.297999978,89.80000305,11.80000019
3/23/2017,8:00,3.559999943,2.49000001,1.269999981,1.299000025,90.19999695,11.85999966
3/23/2017,8:15,3.539999962,2.486000061,1.269999981,1.292999983,91,11.97999954
3/23/2017,8:30,3.700000048,2.482000113,1.269999981,1.302000046,92,12.06000042
3/23/2017,8:45,3.75,2.486999989,1.269999981,1.299999952,92.80000305,12.14000034
3/23/2017,9:00,4.059999943,2.493000031,1.279999971,1.299000025,93.40000153,12.13000011
3/23/2017,9:15,4.230000019,2.493000031,1.279999971,1.299000025,94.40000153,12.19999981
3/23/2017,9:30,4.440000057,2.494999886,1.279999971,1.299999952,95.5,12.27999973
3/23/2017,9:45,4.619999886,2.492000103,1.279999971,1.300999999,96.59999847,12.35000038
3/23/2017,10:00,4.800000191,2.493000031,1.279999971,1.297000051,97.80000305,12.44999981
3/23/2017,10:15,5.059999943,2.493999958,1.279999971,1.296000004,99.09999847,12.52999973
3/23/2017,10:30,5.320000172,2.494999886,1.279999971,1.294999957,100.1999969,12.57999992
3/23/2017,10:45,5.610000134,2.496999979,1.289999962,1.297999978,101.5999985,12.67000008
