Customer:,Dominion - Cove Point,,,,,,,,
Exported parameters:,EcoNet Battery/Battery,YSI 6 Series/Temp,YSI 6 Series/SpCond,YSI 6 Series/Salinity,YSI 6 Series/Depth,YSI 6 Series/Battery,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,4/5/2017 0:00,,,,,,,,
End Date:,4/19/2017 23:59,,,,,,,,
,,103277,162782,162787,162792,162801,162802,162852,162853
Date,Time,Battery,Temp,SpCond,Salinity,Depth,Battery,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,V,C,mS/cm,ppt,ft,V,%,mg/L
4/5/2017,0:00,12.18,20.03000069,2.279000044,1.169999957,1.345999956,12.5,100.3000031,9.050000191
4/5/2017,0:15,12.168,19.95999908,2.279999971,1.169999957,1.345999956,12.5,100.8000031,9.109999657
4/5/2017,0:30,12.096,19.88999939,2.278000116,1.169999957,1.345999956,12.5,100.1999969,9.069999695
4/5/2017,0:45,12.108,19.80999947,2.276000023,1.169999957,1.345999956,12.5,97.90000153,8.880000114
4/5/2017,1:00,12.156,19.73999977,2.273000002,1.169999957,1.347000003,12.5,99.30000305,9.010000229
4/5/2017,1:15,12.144,19.64999962,2.269000053,1.169999957,1.345999956,12.5,96.09999847,8.739999771
4/5/2017,1:30,12.144,19.54999924,2.267999887,1.169999957,1.345000029,12.5,97.59999847,8.890000343
4/5/2017,1:45,12.132,19.43000031,2.263999939,1.169999957,1.343999982,12.5,95.59999847,8.729999542
4/5/2017,2:00,12.132,19.32999992,2.257999897,1.159999967,1.345000029,12.5,97,8.880000114
4/5/2017,2:15,12.132,19.25,2.256999969,1.159999967,1.345000029,12.5,97.30000305,8.920000076
4/5/2017,2:30,12.12,19.18000031,2.256000042,1.159999967,1.345000029,12.5,95.80000305,8.789999962
4/5/2017,2:45,12.12,19.13999939,2.256999969,1.159999967,1.345000029,12.39999962,95.5,8.770000458
4/5/2017,3:00,12.108,19.12000084,2.257999897,1.159999967,1.345000029,12.5,95.80000305,8.800000191
4/5/2017,3:15,12.12,19.07999992,2.262000084,1.169999957,1.343000054,12.5,94.90000153,8.729999542
4/5/2017,3:30,12.12,18.98999977,2.263999939,1.169999957,1.342000008,12.5,93.90000153,8.649999619
4/5/2017,3:45,12.108,18.84000015,2.253000021,1.159999967,1.343999982,12.5,92.69999695,8.56000042
4/5/2017,4:00,12.108,18.67000008,2.249000072,1.159999967,1.343000054,12.39999962,92,8.529999733
4/5/2017,4:15,12.096,18.52000046,2.249000072,1.159999967,1.342000008,12.39999962,92.19999695,8.569999695
4/5/2017,4:30,12.096,18.39999962,2.255000114,1.159999967,1.343000054,12.5,91.40000153,8.520000458
4/5/2017,4:45,12.096,18.32999992,2.246000051,1.159999967,1.343000054,12.39999962,91,8.5
4/5/2017,5:00,12.096,18.23999977,2.256999969,1.159999967,1.343000054,12.39999962,90.40000153,8.460000038
4/5/2017,5:15,12.084,18.12000084,2.267999887,1.169999957,1.343000054,12.39999962,90.5,8.489999771
4/5/2017,5:30,12.084,17.95999908,2.269999981,1.169999957,1.343000054,12.39999962,89.90000153,8.460000038
4/5/2017,5:45,12.084,17.85000038,2.270999908,1.169999957,1.340999961,12.39999962,89.90000153,8.479999542
4/5/2017,6:00,12.072,17.79000092,2.269000053,1.169999957,1.340000033,12.39999962,89.40000153,8.43999958
4/5/2017,6:15,12.144,17.73999977,2.265000105,1.169999957,1.340999961,12.5,86.59999847,8.18999958
4/5/2017,6:30,12.18,17.59000015,2.25999999,1.169999957,1.340000033,12.5,88.59999847,8.399999619
4/5/2017,6:45,12.372,17.53000069,2.253999949,1.159999967,1.340000033,12.69999981,87.5,8.31000042
4/5/2017,7:00,12.648,17.45999908,2.253000021,1.159999967,1.340000033,13,86.80000305,8.25
4/5/2017,7:15,12.744,17.42000008,2.246000051,1.159999967,1.338999987,13.10000038,89,8.470000267
4/5/2017,7:30,12.852,17.42000008,2.247999907,1.159999967,1.338999987,13.19999981,86.19999695,8.199999809
