,,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System,Marsh Monitoring System
,,South Point,South Point,South Point,South Point,South Point,South Point,South Point
,,1.80E+72,1.80E+72,1.80E+72,1.80E+72,1.80E+72,1.80E+72,EcoNet Battery
Date,Time,Temp,SpCond,Salinity,Depth,ODO Conc,ODO%,Battery
MM/dd/yyyy,HH:mm,C,mS/cm,ppt,ft,mg/L,%,V
Min,,17.78,1.687,0.85,0.989,4.66,58.4,12.31
Max,,33.08,2.055,1.04,1.325,10.37,145.2,14.3
Mean,,26.18,1.852,0.936,1.172,7.01,87.4,13.18
Median,,26.29,1.832,0.93,1.2,6.91,84.8,12.8
St.dev,,3.45,0.095,0.048,0.093,1.06,16,0.69
6/1/2017,0:00,23.93,1.688,0.85,1.322,7.36,87.7,12.47
6/1/2017,0:15,23.89,1.687,0.85,1.323,7.35,87.6,12.5
6/1/2017,0:30,23.87,1.696,0.86,1.321,7.22,85.9,12.5
6/1/2017,0:45,23.83,1.697,0.86,1.322,7.18,85.4,12.49
6/1/2017,1:00,23.77,1.697,0.86,1.32,7.22,85.8,12.44
6/1/2017,1:15,23.74,1.696,0.86,1.322,7.13,84.7,12.43
6/1/2017,1:30,23.67,1.694,0.86,1.322,7.05,83.6,12.43
6/1/2017,1:45,23.63,1.696,0.86,1.322,7.04,83.5,12.44
6/1/2017,2:00,23.58,1.687,0.85,1.321,6.96,82.4,12.38
6/1/2017,2:15,23.51,1.691,0.85,1.321,6.92,81.9,12.42
6/1/2017,2:30,23.47,1.69,0.85,1.319,6.96,82.2,12.41
6/1/2017,2:45,23.41,1.691,0.85,1.319,6.89,81.4,12.41
6/1/2017,3:00,23.33,1.691,0.85,1.32,6.94,81.8,12.4
6/1/2017,3:15,23.3,1.691,0.85,1.32,6.91,81.4,12.38
6/1/2017,3:30,23.22,1.691,0.85,1.319,6.9,81.2,12.38
6/1/2017,3:45,23.18,1.692,0.85,1.32,6.95,81.6,12.38
6/1/2017,4:00,23.11,1.692,0.85,1.32,6.88,80.8,12.38
6/1/2017,4:15,23.05,1.691,0.85,1.321,6.83,80.1,12.31
6/1/2017,4:30,22.97,1.691,0.85,1.317,6.79,79.5,12.31
6/1/2017,4:45,22.88,1.69,0.85,1.318,6.78,79.3,12.31
6/1/2017,5:00,22.78,1.688,0.85,1.319,6.83,79.6,12.35
6/1/2017,5:15,22.7,1.687,0.85,1.318,6.87,80,12.56
6/1/2017,5:30,22.66,1.688,0.85,1.319,6.72,78.2,12.88
6/1/2017,5:45,22.62,1.689,0.85,1.321,6.68,77.7,12.89
6/1/2017,6:00,22.6,1.689,0.85,1.322,6.69,77.7,13.18
6/1/2017,6:15,22.57,1.689,0.85,1.322,6.64,77.2,13.3
6/1/2017,6:30,22.58,1.689,0.85,1.322,6.59,76.6,13.49
6/1/2017,6:45,22.58,1.689,0.85,1.322,6.63,77.1,13.34
6/1/2017,7:00,22.63,1.69,0.85,1.321,6.55,76.2,13.42
6/1/2017,7:15,22.64,1.689,0.85,1.322,6.6,76.7,13.64
6/1/2017,7:30,22.64,1.69,0.85,1.319,6.64,77.2,14.02
6/1/2017,7:45,22.66,1.691,0.85,1.322,6.8,79.1,14.14
6/1/2017,8:00,22.69,1.691,0.85,1.322,6.78,78.9,14.11
6/1/2017,8:15,22.66,1.691,0.86,1.321,6.66,77.5,14.1
6/1/2017,8:30,22.64,1.691,0.86,1.321,6.66,77.5,14.09
6/1/2017,8:45,22.77,1.689,0.85,1.323,6.75,78.7,14.08
6/1/2017,9:00,22.93,1.69,0.85,1.322,6.82,79.7,14.08
6/1/2017,9:15,23.07,1.689,0.85,1.322,6.72,78.9,14.08
6/1/2017,9:30,23.2,1.688,0.85,1.322,6.69,78.6,14.06
6/1/2017,9:45,23.57,1.689,0.85,1.325,6.78,80.3,14.08
6/1/2017,10:00,23.99,1.688,0.85,1.323,6.96,83.1,14.08
6/1/2017,10:15,23.98,1.692,0.85,1.321,6.99,83.4,14.08
6/1/2017,10:30,23.84,1.693,0.85,1.321,7.16,85.2,14.09
6/1/2017,10:45,24.36,1.69,0.85,1.321,7.2,86.5,14.09
6/1/2017,11:00,24.23,1.695,0.86,1.321,7.39,88.6,14.09
6/1/2017,11:15,24.25,1.693,0.85,1.316,7.57,90.8,14.08
6/1/2017,11:30,24.44,1.689,0.85,1.318,7.7,92.7,14.06
6/1/2017,11:45,24.59,1.692,0.85,1.32,7.96,96.1,14.04
6/1/2017,12:00,24.66,1.693,0.85,1.323,8.01,96.8,14.03
6/1/2017,12:15,24.98,1.695,0.85,1.322,7.62,92.6,14.02
6/1/2017,12:30,25.43,1.694,0.85,1.322,7.24,88.7,14.03
6/1/2017,12:45,25.49,1.694,0.85,1.319,6.87,84.3,14.03
6/1/2017,13:00,25.64,1.698,0.86,1.317,6.9,84.9,14.02
6/1/2017,13:15,25.53,1.704,0.86,1.316,6.86,84.3,14.02
6/1/2017,13:30,25.71,1.699,0.86,1.317,6.91,85.1,13.99
6/1/2017,13:45,25.96,1.696,0.85,1.311,7.51,92.9,13.98
6/1/2017,14:00,26.47,1.699,0.85,1.31,8.65,108,13.92
6/1/2017,14:15,26.96,1.711,0.86,1.315,8.71,109.7,13.93
6/1/2017,14:30,27.42,1.708,0.86,1.308,8.42,106.9,13.92
6/1/2017,14:45,28.36,1.706,0.86,1.306,8.23,106.4,13.92
6/1/2017,15:00,28.3,1.708,0.86,1.304,8.48,109.5,13.91
6/1/2017,15:15,28.77,1.697,0.85,1.306,8.4,109.3,13.91
6/1/2017,15:30,28.44,1.711,0.86,1.309,8.63,111.6,13.91
6/1/2017,15:45,28.88,1.705,0.85,1.311,8.66,112.9,13.69
6/1/2017,16:00,28.83,1.706,0.86,1.311,8.65,112.6,13.21
6/1/2017,16:15,29.07,1.707,0.86,1.308,8.42,110.1,13.45
6/1/2017,16:30,29.22,1.706,0.85,1.309,8.55,112.1,13.25
6/1/2017,16:45,29.48,1.71,0.86,1.305,8.39,110.5,13.84
6/1/2017,17:00,29.29,1.709,0.86,1.307,8.62,113.2,13.15
6/1/2017,17:15,29.56,1.718,0.86,1.308,8.42,111,13.04
6/1/2017,17:30,29.37,1.719,0.86,1.309,8.53,112.2,13.03
6/1/2017,17:45,29.24,1.714,0.86,1.308,8.53,111.9,12.97
6/1/2017,18:00,29.07,1.715,0.86,1.309,8.64,113,12.96
6/1/2017,18:15,29.01,1.711,0.86,1.309,8.42,110.1,12.96
6/1/2017,18:30,28.73,1.712,0.86,1.309,8.13,105.7,12.84
6/1/2017,18:45,28.54,1.713,0.86,1.308,7.68,99.5,12.71
6/1/2017,19:00,28.46,1.716,0.86,1.308,7.62,98.7,12.66
6/1/2017,19:15,28.36,1.714,0.86,1.308,7.56,97.6,12.62
6/1/2017,19:30,28.37,1.714,0.86,1.307,7.66,98.9,12.61
6/1/2017,19:45,28.32,1.714,0.86,1.307,7.69,99.2,12.61
6/1/2017,20:00,28.2,1.712,0.86,1.307,7.63,98.3,12.61
6/1/2017,20:15,28.05,1.707,0.86,1.306,7.47,95.9,12.61
