Customer:,Dominion - Cove Point,,,,,,,,
Exported parameters:,EcoNet Battery/Battery,YSI 6 Series/Temp,YSI 6 Series/SpCond,YSI 6 Series/Salinity,YSI 6 Series/Depth,YSI 6 Series/Battery,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
Start Date:,4/19/2017 0:00,,,,,,,,
End Date:,5/3/2017 23:59,,,,,,,,
,,103275,104614,104619,104624,104633,104634,104684,104685
Date,Time,Battery,Temp,SpCond,Salinity,Depth,Battery,ODO%,ODO Conc
MM/dd/yyyy,HH:mm,V,C,mS/cm,ppt,ft,V,%,mg/L
4/19/2017,0:00,12.528,18.12000084,2.358999968,1.220000029,1.445000052,,87.69999695,8.229999542
4/19/2017,0:15,12.528,17.84000015,2.358999968,1.220000029,1.444000006,,86.69999695,8.180000305
4/19/2017,0:30,12.528,17.62000084,2.355999947,1.220000029,1.445000052,,85.90000153,8.130000114
4/19/2017,0:45,12.516,17.30999947,2.354000092,1.220000029,1.445000052,,85,8.100000381
4/19/2017,1:00,12.516,17.12000084,2.349999905,1.210000038,1.44599998,,84.19999695,8.06000042
4/19/2017,1:15,12.516,16.90999985,2.346999884,1.210000038,1.442999959,,84,8.079999924
4/19/2017,1:30,12.504,16.79999924,2.344000101,1.210000038,1.445000052,,83.69999695,8.06000042
4/19/2017,1:45,12.504,16.67000008,2.345000029,1.210000038,1.444000006,,83.30000305,8.050000191
4/19/2017,2:00,12.504,16.54999924,2.351999998,1.220000029,1.445000052,,83.09999847,8.050000191
4/19/2017,2:15,12.504,16.52000046,2.355999947,1.220000029,1.442999959,,83.40000153,8.090000153
4/19/2017,2:30,12.492,16.44000053,2.36500001,1.220000029,1.442000031,,82.5,8.010000229
4/19/2017,2:45,12.492,16.37999916,2.367000103,1.220000029,1.442999959,,82.69999695,8.039999962
4/19/2017,3:00,12.492,16.31999969,2.371999979,1.230000019,1.445000052,,81.69999695,7.949999809
4/19/2017,3:15,12.48,16.25,2.375999928,1.230000019,1.444000006,,81.69999695,7.960000038
4/19/2017,3:30,12.468,16.20000076,2.380000114,1.230000019,1.44599998,,80.5,7.860000134
4/19/2017,3:45,12.468,16.12000084,2.384000063,1.230000019,1.44599998,,80.30000305,7.849999905
4/19/2017,4:00,12.456,16.03000069,2.385999918,1.230000019,1.44599998,,80.59999847,7.889999866
4/19/2017,4:15,12.456,15.97000027,2.391000032,1.24000001,1.447000027,,80.40000153,7.880000114
4/19/2017,4:30,12.456,15.90999985,2.394000053,1.24000001,1.44599998,,80.09999847,7.860000134
4/19/2017,4:45,12.444,15.85999966,2.395999908,1.24000001,1.447000027,,80.5,7.909999847
4/19/2017,5:00,12.444,15.81000042,2.397000074,1.24000001,1.44599998,,80.40000153,7.909999847
4/19/2017,5:15,12.42,15.73999977,2.398999929,1.24000001,1.44599998,,80.09999847,7.889999866
4/19/2017,5:30,12.42,15.69999981,2.400000095,1.24000001,1.444000006,,79.69999695,7.849999905
4/19/2017,5:45,12.468,15.64999962,2.401000023,1.24000001,1.445000052,,78.69999695,7.769999981
4/19/2017,6:00,12.672,15.60999966,2.40199995,1.24000001,1.442999959,,78.5,7.75
4/19/2017,6:15,12.792,15.46000004,2.403000116,1.24000001,1.442999959,,77.59999847,7.690000057
4/19/2017,6:30,13.008,15.27999973,2.404000044,1.24000001,1.444000006,,78.40000153,7.789999962
4/19/2017,6:45,13.176,15.27000046,2.40199995,1.24000001,1.444000006,,78.30000305,7.789999962
4/19/2017,7:00,13.164,15.27000046,2.401000023,1.24000001,1.44599998,,79.19999695,7.880000114
4/19/2017,7:15,13.236,15.30000019,2.400000095,1.24000001,1.444000006,,79.59999847,7.920000076
4/19/2017,7:30,14.388,15.32999992,2.398999929,1.24000001,1.445000052,,79.59999847,7.920000076
4/19/2017,7:45,13.512,15.36999989,2.397000074,1.24000001,1.442999959,,80.59999847,8
4/19/2017,8:00,13.584,15.43000031,2.397000074,1.24000001,1.442999959,,80.09999847,7.940000057
4/19/2017,8:15,13.536,15.43999958,2.397000074,1.24000001,1.444000006,,81.40000153,8.069999695
4/19/2017,8:30,13.86,15.46000004,2.397000074,1.24000001,1.444000006,,81.69999695,8.100000381
4/19/2017,8:45,14.412,15.47999954,2.397000074,1.24000001,1.445000052,,81.90000153,8.109999657
4/19/2017,9:00,14.4,15.51000023,2.397000074,1.24000001,1.442999959,,82.80000305,8.18999958
4/19/2017,9:15,14.4,15.56000042,2.395999908,1.24000001,1.442000031,,84,8.31000042
4/19/2017,9:30,14.376,15.61999989,2.395999908,1.24000001,1.442999959,,85.69999695,8.470000267
4/19/2017,9:45,14.376,15.73999977,2.395999908,1.24000001,1.442999959,,87,8.569999695
4/19/2017,10:00,14.376,15.80000019,2.394999981,1.24000001,1.442000031,,87.69999695,8.630000114
4/19/2017,10:15,14.364,15.86999989,2.394999981,1.24000001,1.442999959,,88.69999695,8.710000038
4/19/2017,10:30,14.364,15.94999981,2.394000053,1.24000001,1.444000006,,90,8.829999924
4/19/2017,10:45,14.364,16.07999992,2.392999887,1.24000001,1.444000006,,92.19999695,9.020000458
