Id,59394642e4b0b6c9b78dd517,59394642e4b0b6c9b78dd513,5947d69be4b0ad0ae18b22e2,59394643e4b0b6c9b78dd523,59394643e4b0b6c9b78dd526,59394643e4b0b6c9b78dd529,59394643e4b0b6c9b78dd520,59394643e4b0b6c9b78dd51d,59394643e4b0b6c9b78dd51a,5947d69be4b0ad0ae18b22e5,59394643e4b0b6c9b78dd52f,59394643e4b0b6c9b78dd52c
Timestamp,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/EventLog - EventDetails,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/EventLog - EventMsg,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - Date,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - Depth,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - ODO,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - ODO Conc,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - Salinity,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - Sp Cond,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - Temp,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SondeData - Time,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SystemInternals - P Batt Min,xyle510/Dominion Power/MidPoint/Campbell PakBus Logger/SystemInternals - P Temp Avg
Units,,,,ft,%,mg/L,ppt,mS/cm,C,,,
6/7/2017 16:59,,,,0,0,0,0,731.8,22.19,,,
6/7/2017 17:00,,,,,,,,,,,11.61,27.92
6/7/2017 17:00,,,,0,0,0,0,733.1,22.19,,,
6/7/2017 17:15,,,,0,0,0,0,732.3,22.17,,,
6/7/2017 17:30,,,,0,0,0,0,732.8,22.15,,,
6/7/2017 17:45,,,,0,0,0,0,732.6,22.16,,,
6/7/2017 18:00,,,,,,,,,,,11.51,27.1
6/7/2017 18:00,,,,0,0,0,0,733,22.16,,,
6/7/2017 18:15,,,,0,0,0,0,732.8,22.16,,,
6/7/2017 18:30,,,,0,0,0,0,733,22.16,,,
6/7/2017 18:45,,,,0,0,0,0,733.1,22.14,,,
6/7/2017 19:00,,,,,,,,,,,,26.9
6/7/2017 19:00,,,,,,0,,,22.15,,,
6/7/2017 19:15,,,,,,0,,,22.15,,,
6/7/2017 19:30,,,,,,0,,,22.14,,,
6/7/2017 19:45,,,,,,0,,,22.12,,,
6/7/2017 20:00,,,,,,,,,,,,26.6
