"Id","5947dabbe4b0ad0ae18b263d","59301e07e4b02627b6d14a2e","59301e07e4b02627b6d14a31","59301e07e4b02627b6d14a34","59301e07e4b02627b6d14a2b","59301e07e4b02627b6d14a28","59301e06e4b02627b6d14a24","5947dabbe4b0ad0ae18b2640"
"Timestamp","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - Date","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - Depth","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - ODO","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - ODO Conc","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - Salinity","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - Sp Cond","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - Temp","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/SondeData - Time"
"Units","","","","","","","",""
2017-06-01 08:56:41,,0,0,0,0,688.6,22.46,
2017-06-01 09:00:18,,0,0,0,0,689.9,22.46,
2017-06-01 09:15:18,,0,0,0,0,689.7,22.44,
2017-06-01 09:30:18,,0,0,0,0,688.8,22.46,
2017-06-01 09:45:18,,0,0,0,0,688.5,22.46,
2017-06-01 10:00:18,,0,0,0,0,688.5,22.45,
2017-06-01 10:15:18,,0,0,0,0,688.7,22.49,
2017-06-01 10:30:18,,0,0,0,0,688.7,22.52,
2017-06-01 10:45:18,,0,0,0,0,688.7,22.56,
2017-06-01 11:00:18,,0,0,0,0,688.8,22.58,
2017-06-01 11:15:18,,0,0,0,0,689,22.6,
2017-06-01 11:30:18,,0,0,0,0,689.2,22.65,
2017-06-01 11:45:18,,0,0,0,0,689.4,22.69,
2017-06-01 12:00:18,,0,0,0,0,689.7,22.74,
2017-06-01 12:15:18,,0,0,0,0,689.7,22.77,
2017-06-01 12:30:18,,0,0,0,0,689.9,22.81,
2017-06-01 12:45:18,,0,0,0,0,690,22.85,
2017-06-01 13:00:18,,0,0,0,0,690.2,22.88,
2017-06-01 13:15:18,,0,0,0,0,690.4,22.94,
2017-06-01 13:30:18,,0,0,0,0,690.6,22.97,
2017-06-01 13:45:18,,0,0,0,0,690.9,23.01,
2017-06-01 14:00:18,,0,0,0,0,691,23.04,
2017-06-01 14:15:18,,0,0,0,0,691.2,23.08,
2017-06-01 14:30:18,,0,0,0,0,691.5,23.11,
2017-06-01 14:45:18,,0,0,0,0,691.3,23.17,
2017-06-01 15:00:18,,0,0,0,0,691.5,23.18,
2017-06-01 15:15:18,,0,0,0,0,691.6,23.2,
2017-06-01 16:00:18,,0,0,0,0,692,23.24,
2017-06-01 16:15:18,,0,0,0,0,692.2,23.23,
2017-06-01 16:30:18,,0,0,0,0,692.2,23.25,
2017-06-01 16:45:18,,0,0,0,0,692.2,23.23,
2017-06-01 17:00:18,,0,0,0,0,692.1,23.2,
2017-06-01 17:15:18,,0,0,0,0,692.4,23.16,
2017-06-01 17:30:18,,0,0,0,0,694.9,23.1,
2017-06-01 17:45:18,,0,0,0,0,694.5,23.07,
2017-06-01 18:00:18,,0,0,0,0,694.4,23.02,
2017-06-01 18:15:18,,0,0,0,0,694,22.97,
2017-06-01 18:30:18,,0,0,0,0,694.1,22.89,
