"Id","592edf66e4b0790dea7a68b1","592edf66e4b0790dea7a68b9","592edf67e4b0790dea7a68bf","592edf66e4b0790dea7a68bc","592edf66e4b0790dea7a68b4","592edf66e4b0790dea7a68a3","592edf66e4b0790dea7a68ae","592edf66e4b0790dea7a68ab","592edf66e4b0790dea7a68a7","59c41f07b26df40c9cb28ff2","59c41f07b26df40c9cb28fee"
"Timestamp","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Air Temp","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - BP","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Hail Intensity Tot","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Rain Fall Tot","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - RH","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Wind Dir","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Wind Speed avg","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Wind Speed max","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger/WXTData - Wind Speed min","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger (2)/SystemInternals - P Batt Min","xyle510/Dominion Power/NorthPoint/Campbell PakBus Logger (2)/SystemInternals - P Temp Avg"
"Units","","","","","","","","","","V","C"
2017-05-31 10:15:07,76.1,30.09,0,0,50.7,115,1.1,2.1,0.5,,
2017-05-31 10:30:07,76.4,30.09,0,0,50.5,184,1.9,4.8,0.2,,
2017-05-31 10:45:07,76.8,30.08,0,0,50.4,150,0.3,0.5,0.1,,
2017-05-31 11:00:07,77,30.08,0,0,50,146,0.3,0.6,0.1,,
2017-05-31 11:15:07,76.8,30.08,0,0,49.5,91,0.2,0.4,0.1,,
2017-05-31 11:30:07,76.4,30.08,0,0,49.7,65,0.4,0.7,0.2,,
2017-05-31 12:00:08,76.2,30.07,0,0,50.1,157,0.4,0.5,0.2,,
2017-05-31 12:15:07,75.9,30.07,0,0,50,271,0.3,0.5,0.2,,
2017-05-31 12:30:07,75.7,30.07,0,0,52.9,184,0.2,0.4,0.1,,
2017-05-31 12:45:07,75.9,30.07,0,0,52.2,54,0.4,0.6,0.1,,
2017-05-31 13:00:07,75.9,30.06,0,0,51.6,231,0.3,0.5,0.2,,
2017-05-31 14:00:07,76.4,30.05,0,0,50.7,57,0.3,0.6,0.2,,
2017-05-31 14:15:07,76.1,30.05,0,0,51.2,131,0.3,0.5,0.2,,
2017-05-31 14:30:07,76.2,30.04,0,0,51,147,0.4,0.7,0.2,,
2017-05-31 14:45:07,76.2,30.04,0,0,50.9,156,0.3,0.4,0.1,,
2017-05-31 15:00:07,76.8,30.04,0,0,50.4,318,0.2,0.4,0.1,,
2017-05-31 15:15:07,77,30.04,0,0,50,271,0.2,0.4,0.1,,
2017-05-31 15:30:07,77.1,30.03,0,0,49.8,268,0.3,0.6,0.1,,
2017-05-31 15:45:07,77.3,30.02,0,0,49.7,79,0.3,0.5,0.2,,
2017-05-31 16:00:07,77.3,30.02,0,0,49.3,82,0.4,0.5,0.2,,
2017-05-31 16:15:07,77.1,30.02,0,0,49.3,104,0.3,0.5,0.1,,
2017-05-31 16:30:07,77,30.02,0,0,49.3,117,0.3,0.6,0.1,,
2017-05-31 16:45:07,76.6,30.02,0,0,49.3,71,0.3,0.5,0.1,,
2017-05-31 17:00:07,76.2,30.02,0,0,49.6,88,0.2,0.3,0.1,,
2017-05-31 17:15:07,75.9,30.01,0,0,49.7,53,0.3,0.6,0.1,,
2017-05-31 17:30:07,75.5,30.02,0,0,50.1,177,0.2,0.4,0.1,,
2017-05-31 17:45:07,75.3,30.03,0,0,50.3,78,0.4,0.6,0.2,,
2017-05-31 18:00:07,75,30.04,0,0,50.7,83,0.3,0.6,0.1,,
2017-05-31 18:15:07,75,30.04,0,0,50.8,161,0.2,0.3,0.1,,
2017-05-31 18:30:07,75.3,30.04,0,0,49.7,110,0.2,0.3,0.1,,
2017-05-31 18:45:07,75,30.04,0,0,50.3,162,0.5,1.2,0.1,,
2017-05-31 19:00:07,74.8,30.05,0,0,50.4,147,0.2,0.3,0.1,,
2017-05-31 19:15:07,75,30.06,0,0,50.5,66,0.1,0.3,0.1,,
2017-05-31 19:30:07,75,30.06,0,0,50.2,208,0.2,0.4,0.1,,
2017-05-31 19:45:07,75,30.05,0,0,49.5,86,0.2,0.4,0.1,,
2017-05-31 20:00:07,75,30.06,0,0,49.1,89,0.1,0.2,0.1,,
2017-05-31 20:15:07,75.2,30.07,0,0,48.2,183,0.2,0.4,0.1,,
2017-05-31 20:30:07,75.2,30.08,0,0,47.2,151,0.1,0.2,0.1,,
2017-05-31 20:45:07,75.3,30.09,0,0,46.4,109,0.1,0.2,0.1,,
2017-05-31 21:00:07,75.5,30.09,0,0,46,91,0.1,0.3,0.1,,
2017-05-31 21:15:07,75.5,30.09,0,0,45.8,43,0.2,0.4,0.1,,
2017-05-31 21:30:07,75.7,30.09,0,0,45.1,252,0.2,0.4,0.1,,
2017-05-31 21:45:07,75.7,30.09,0,0,44.7,240,0.1,0.2,0.1,,
2017-05-31 22:00:07,75.7,30.09,0,0,44.4,108,0.2,0.3,0.1,,
2017-05-31 22:15:07,75.7,30.09,0,0,44.3,107,0.1,0.3,0.1,,
2017-05-31 22:30:07,75.7,30.09,0,0,44.3,105,0.1,0.3,0.1,,
2017-05-31 22:45:07,75.9,30.09,0,0,44.2,242,0.3,0.4,0.1,,
