"Id","594d3810e4b08cb556dee6cb","59357622e4b0ad0ae17ac9fc","59357622e4b0ad0ae17ac9ff","59357623e4b0ad0ae17aca03","59357622e4b0ad0ae17ac9f9","59357622e4b0ad0ae17ac9f6","59357622e4b0ad0ae17ac9f3","594d3810e4b08cb556dee6ce","59357623e4b0ad0ae17aca09","59357623e4b0ad0ae17aca06"
"Timestamp","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - Date","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - Depth","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - ODO","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - ODO Conc","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - Salinity","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - Sp Cond","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - Temp","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SondeData - Time","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SystemInternals - P Batt Min","xyle510/Dominion Power/SouthPoint/Campbell PakBus Logger/SystemInternals - P Temp Avg"
"Units","","","","","","","","","",""
2017-06-05 11:15:18,,0,0,0,0,707.8,22.26,,,
2017-06-05 11:21:26,,0,0,0,0,708.2,22.26,,,
2017-06-05 11:30:18,,0,0,0,0,707.8,22.27,,,
2017-06-05 11:45:18,,0,0,0,0,708,22.26,,,
2017-06-05 12:00:00,,,,,,,,,11.94,25.98
2017-06-05 12:00:18,,0,0,0,0,708.3,22.29,,,
2017-06-05 12:15:18,,0,0,0,0,708.1,22.24,,,
2017-06-05 12:30:18,,0,0,0,0,708.1,22.27,,,
2017-06-05 12:45:18,,0,0,0,0,708,22.25,,,
2017-06-05 13:00:00,,,,,,,,,11.96,24.94
2017-06-05 13:00:18,,0,0,0,0,708.7,22.28,,,
2017-06-05 13:15:18,,0,0,0,0,708.9,22.34,,,
2017-06-05 13:30:18,,0,0,0,0,708.6,22.36,,,
2017-06-05 13:45:18,,0,0,0,0,708.8,22.38,,,
2017-06-05 14:00:00,,,,,,,,,11.95,26.52
2017-06-05 14:00:18,,0,0,0,0,709.2,22.42,,,
2017-06-05 14:15:18,,0,0,0,0,711.6,22.45,,,
2017-06-05 14:30:18,,0,0,0,0,711.7,22.46,,,
2017-06-05 14:45:18,,0,0,0,0,711.3,22.5,,,
2017-06-05 15:00:00,,,,,,,,,11.96,25.54
2017-06-05 15:00:18,,0,0,0,0,711.3,22.42,,,
2017-06-05 15:15:18,,0,0,0,0,711,22.29,,,
2017-06-05 15:30:18,,0,0,0,0,711.2,22.14,,,
2017-06-05 15:45:18,,0,0,0,0,710.3,22.04,,,
2017-06-05 16:00:00,,,,,,,,,11.95,24.31
2017-06-05 16:00:18,,0,0,0,0,710.9,21.95,,,
2017-06-05 16:15:18,,0,0,0,0,710.4,21.98,,,
2017-06-05 16:30:18,,0,0,0,0,710.6,21.91,,,
2017-06-05 16:45:18,,0,0,0,0,710.7,21.87,,,
2017-06-05 17:00:00,,,,,,,,,11.96,24.48
2017-06-05 17:00:18,,0,0,0,0,710.9,21.86,,,
2017-06-05 17:15:18,,0,0,0,0,711.9,21.92,,,
2017-06-05 17:30:18,,0,0,0,0,712.4,21.98,,,
2017-06-05 17:45:18,,0,0,0,0,712,21.97,,,
2017-06-05 18:00:00,,,,,,,,,11.94,24.34
2017-06-05 18:00:18,,0,0,0,0,712.6,22,,,
2017-06-05 18:15:18,,0,0,0,0,712.8,22.05,,,
2017-06-05 18:30:18,,0,0,0,0,712.7,22.01,,,
2017-06-05 18:45:18,,0,0,0,0,713.1,22.06,,,
2017-06-05 19:00:00,,,,,,,,,11.97,24.36
2017-06-05 19:00:18,,0,0,0,0,713.2,22.1,,,
2017-06-05 19:15:18,,0,0,0,0,713.2,22.13,,,
2017-06-05 19:30:18,,0,0,0,0,713.2,22.08,,,
2017-06-05 19:45:18,,0,0,0,0,713.4,22.1,,,
2017-06-05 20:00:00,,,,,,,,,11.95,24.14
2017-06-05 20:00:18,,0,0,0,0,713.7,22.12,,,
2017-06-05 20:15:18,,0,0,0,0,713.8,22.11,,,
2017-06-05 20:30:18,,0,0,0,0,713.9,22.13,,,
2017-06-05 20:45:18,,0,0,0,0,713.9,22.16,,,
2017-06-05 21:00:00,,,,,,,,,11.95,24
2017-06-05 21:00:18,,0,0,0,0,714.2,22.14,,,
2017-06-05 21:15:18,,0,0,0,0,713.9,22.15,,,
2017-06-05 21:30:18,,0,0,0,0,714.3,22.15,,,
2017-06-05 21:45:18,,0,0,0,0,714.2,22.14,,,
2017-06-05 22:00:00,,,,,,,,,11.96,23.83
2017-06-05 22:00:18,,0,0,0,0,714.2,22.15,,,
2017-06-05 22:15:18,,0,0,0,0,714.3,22.15,,,
2017-06-05 22:30:18,,0,0,0,0,714.5,22.15,,,
2017-06-05 22:45:18,,0,0,0,0,714.5,22.16,,,
2017-06-05 23:00:00,,,,,,,,,11.96,23.8
2017-06-05 23:00:18,,0,0,0,0,714.6,22.14,,,
2017-06-05 23:15:18,,0,0,0,0,714.5,22.16,,,
2017-06-05 23:30:18,,0,0,0,0,714.6,22.16,,,
2017-06-05 23:45:18,,0,0,0,0,714.8,22.17,,,
2017-06-06 00:00:00,,,,,,,,,11.96,23.78
2017-06-06 00:00:18,,0,0,0,0,714.8,22.17,,,
2017-06-06 00:15:18,,0,0,0,0,714.8,22.16,,,
2017-06-06 00:30:18,,0,0,0,0,715,22.17,,,
2017-06-06 00:45:18,,0,0,0,0,715.2,22.17,,,
2017-06-06 01:00:00,,,,,,,,,11.95,23.76
2017-06-06 01:00:18,,0,0,0,0,715.1,22.17,,,
2017-06-06 01:15:18,,0,0,0,0,715.2,22.18,,,
2017-06-06 01:30:18,,0,0,0,0,715.3,22.18,,,
2017-06-06 01:45:18,,0,0,0,0,715.3,22.19,,,
2017-06-06 02:00:00,,,,,,,,,11.97,23.74
2017-06-06 02:00:18,,0,0,0,0,715.3,22.18,,,
2017-06-06 02:15:18,,0,0,0,0,715.5,22.18,,,
2017-06-06 02:30:18,,0,0,0,0,715.6,22.17,,,
2017-06-06 02:45:18,,0,0,0,0,715.5,22.18,,,
2017-06-06 03:00:00,,,,,,,,,11.96,23.71
2017-06-06 03:00:18,,0,0,0,0,715.8,22.17,,,
2017-06-06 03:15:18,,0,0,0,0,715.7,22.18,,,
2017-06-06 03:30:18,,0,0,0,0,715.7,22.17,,,
2017-06-06 03:45:18,,0,0,0,0,715.9,22.17,,,
2017-06-06 04:00:00,,,,,,,,,11.95,23.69
2017-06-06 04:00:18,,0,0,0,0,715.9,22.18,,,
2017-06-06 04:15:18,,0,0,0,0,716.1,22.16,,,
2017-06-06 04:30:18,,0,0,0,0,716,22.16,,,
2017-06-06 04:45:18,,0,0,0,0,716,22.17,,,
2017-06-06 05:00:00,,,,,,,,,11.96,23.66
2017-06-06 05:00:18,,0,0,0,0,716,22.16,,,
2017-06-06 05:15:18,,0,0,0,0,716.1,22.17,,,
2017-06-06 05:30:18,,0,0,0,0,716,22.15,,,
2017-06-06 05:45:18,,0,0,0,0,716.3,22.15,,,
2017-06-06 06:00:00,,,,,,,,,11.96,23.59
2017-06-06 06:00:18,,0,0,0,0,716.4,22.13,,,
2017-06-06 06:15:18,,0,0,0,0,716.4,22.14,,,
2017-06-06 06:30:18,,0,0,0,0,716.5,22.14,,,
2017-06-06 06:45:18,,0,0,0,0,716.5,22.14,,,
2017-06-06 07:00:00,,,,,,,,,11.96,23.58
2017-06-06 07:00:18,,0,0,0,0,716.5,22.14,,,
2017-06-06 07:15:18,,0,0,0,0,716.7,22.12,,,
2017-06-06 07:30:18,,0,0,0,0,716.9,22.14,,,
2017-06-06 07:45:18,,0,0,0,0,716.7,22.13,,,
2017-06-06 08:00:00,,,,,,,,,11.96,23.71
2017-06-06 08:00:18,,0,0,0,0,716.9,22.14,,,
2017-06-06 08:15:18,,0,0,0,0,716.8,22.12,,,
2017-06-06 08:30:18,,0,0,0,0,716.7,22.1,,,
2017-06-06 08:45:18,,0,0,0,0,716.5,22.08,,,
2017-06-06 09:00:00,,,,,,,,,11.94,23.8
2017-06-06 09:00:18,,0,0,0,0,716.8,22.08,,,
2017-06-06 09:15:18,,0,0,0,0,717.2,22.12,,,
2017-06-06 09:30:18,,0,0,0,0,717,22.17,,,
2017-06-06 09:45:18,,0,0,0,0,717.2,22.2,,,
2017-06-06 10:00:00,,,,,,,,,11.96,26.24
2017-06-06 10:00:18,,0,0,0,0,716.9,22.11,,,
2017-06-06 10:15:18,,0,0,0,0,716.4,22.04,,,
2017-06-06 10:30:18,,0,0,0,0,716,21.98,,,
2017-06-06 10:45:18,,0,0,0,0,716.3,21.92,,,
2017-06-06 11:00:00,,,,,,,,,11.97,25.27
2017-06-06 11:00:18,,0,0,0,0,716.3,21.89,,,
2017-06-06 11:15:18,,0,0,0,0,717.3,21.83,,,
2017-06-06 11:30:18,,0,0,0,0,717.2,21.74,,,
2017-06-06 11:45:18,,0,0,0,0,717,21.62,,,
2017-06-06 12:00:00,,,,,,,,,11.96,24.53
2017-06-06 12:00:18,,0,0,0,0,716.9,21.55,,,
2017-06-06 12:15:18,,0,0,0,0,717.4,21.43,,,
2017-06-06 12:30:18,,0,0,0,0,718.1,21.38,,,
2017-06-06 12:45:18,,0,0,0,0,717.3,21.34,,,
2017-06-06 13:00:00,,,,,,,,,11.97,24.11
2017-06-06 13:00:18,,0,0,0,0,717.9,21.28,,,
2017-06-06 13:15:18,,0,0,0,0,717.6,21.3,,,
2017-06-06 13:30:18,,0,0,0,0,717.9,21.29,,,
