Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-03-01 00:00,0.127,0.009,0,0,0,0,v
2017-03-01 00:06,0.142,0.010,0,0,0,0,v
2017-03-01 00:12,0.149,0.008,0,0,0,0,v
2017-03-01 00:18,0.164,0.010,0,0,0,0,v
2017-03-01 00:24,0.175,0.009,0,0,0,0,v
2017-03-01 00:30,0.183,0.011,0,0,0,0,v
2017-03-01 00:36,0.195,0.011,0,0,0,0,v
2017-03-01 00:42,0.205,0.011,0,0,0,0,v
2017-03-01 00:48,0.216,0.009,0,0,0,0,v
2017-03-01 00:54,0.221,0.010,0,0,0,0,v
2017-03-01 01:00,0.235,0.008,0,0,0,0,v
2017-03-01 01:06,0.246,0.007,0,0,0,0,v
2017-03-01 01:12,0.253,0.008,0,0,0,0,v
2017-03-01 01:18,0.265,0.009,0,0,0,0,v
2017-03-01 01:24,0.274,0.007,0,0,0,0,v
2017-03-01 01:30,0.284,0.005,0,0,0,0,v
2017-03-01 01:36,0.297,0.006,0,0,0,0,v
2017-03-01 01:42,0.308,0.005,0,0,0,0,v
2017-03-01 01:48,0.316,0.005,0,0,0,0,v
2017-03-01 01:54,0.322,0.004,0,0,0,0,v
2017-03-01 02:00,0.329,0.005,0,0,0,0,v
2017-03-01 02:06,0.338,0.003,0,0,0,0,v
2017-03-01 02:12,0.344,0.005,0,0,0,0,v
2017-03-01 02:18,0.353,0.004,0,0,0,0,v
2017-03-01 02:24,0.361,0.004,0,0,0,0,v
2017-03-01 02:30,0.367,0.003,0,0,0,0,v
2017-03-01 02:36,0.369,0.003,0,0,0,0,v
2017-03-01 02:42,0.373,0.003,0,0,0,0,v
2017-03-01 02:48,0.379,0.003,0,0,0,0,v
2017-03-01 02:54,0.383,0.003,0,0,0,0,v
2017-03-01 03:00,0.387,0.003,0,0,0,0,v
2017-03-01 03:06,0.393,0.003,0,0,0,0,v
2017-03-01 03:12,0.397,0.003,0,0,0,0,v
2017-03-01 03:18,0.399,0.002,0,0,0,0,v
2017-03-01 03:24,0.401,0.002,0,0,0,0,v
2017-03-01 03:30,0.401,0.003,0,0,0,0,v
2017-03-01 03:36,0.402,0.002,0,0,0,0,v
2017-03-01 03:42,0.403,0.002,0,0,0,0,v
2017-03-01 03:48,0.404,0.002,0,0,0,0,v
2017-03-01 03:54,0.404,0.002,0,0,0,0,v
2017-03-01 04:00,0.402,0.002,0,0,0,0,v
2017-03-01 04:06,0.398,0.004,0,0,0,0,v
2017-03-01 04:12,0.396,0.005,0,0,0,0,v
2017-03-01 04:18,0.392,0.008,0,0,0,0,v
2017-03-01 04:24,0.391,0.011,0,0,0,0,v
2017-03-01 04:30,0.391,0.009,0,0,0,0,v
2017-03-01 04:36,0.386,0.011,0,0,0,0,v
2017-03-01 04:42,0.378,0.008,0,0,0,0,v
2017-03-01 04:48,0.370,0.008,0,0,0,0,v
2017-03-01 04:54,0.366,0.008,0,0,0,0,v
